Oncology Biomarker Common Use(s),reached_phase_3_plus,Oncology Biomarker,Protocol/Trial ID,Trial.ID,Trial Phase
Diagnostic; Predictive; Predisposing; Prognostic,0,IL2; MIP,NCT06307301 PRO00031998 TrialTroveID-507665,507665,I
,0,,TrialTroveID-297957,297957,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CD4; OLR1,NCT04055623 Pro00022167 Tregs in ALS TrialTroveID-355351,355351,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,APP; CD14; CD4; IL2RA; ISG20; LBP; MIP; NELFCD; RHO; RND1; SPAG5,NCT03241784 TrialTroveID-306643,306643,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CCL2; CD4; CD8A; CTLA4; EXOSC9; FOXP3; IKZF2; IL2; NCAM1; NEFH; NUPR1; PLAC8; S100A12; S100A8,EudraCT Number: 2015-005347-14 H2020/PHRC-N/2014/GB-01 MIROCALS NCT03039673 TrialTroveID-294523,294523,Ii
,1,,TrialTroveID-415777,415777,Ii/Iii
,0,,KY2023-252-01 NCT06181526 SPECIALS TrialTroveID-497466,497466,I
,1,,TrialTroveID-294333,294333,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CST3; SOD1,GALS-C TrialTroveID-250098,250098,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; CST3; HINT1; SOD1,GALS GALS 001 NCT01854294 TrialTroveID-186232,186232,Ii
,0,,IRCT20080728001031N26 NCT02492516 Royan-Nerve-008 TrialTroveID-261007,261007,I
,0,,NCT05003921 SC-7-ATG-7-01 TrialTroveID-411366,411366,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CRP; MSC,NCT02881476 TrialTroveID-285498 UWM/ALS-MSC.2015/001 UwmWjmscAls,285498,I
Prognostic,0,ATP6V0A1,20111207ALS NCT01494480 TrialTroveID-158813,158813,Ii
Prognostic,0,ZMYM2,NCT02236065 TrialTroveID-216528 UCBnG-CSF,216528,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,C4orf3; NEFL; SOD1,2023-510344-20-00 ALN-SOD-ALS-2351 NCT06351592 TrialTroveID-511787,511787,I
,0,,2 ALSParadigm NCT03073239,454913,Other
,1,,TrialTroveID-078982,78982,Iii
,0,,TrialTroveID-078979,78979,I
,1,FOLH1B,NEALS TrialTroveID-078978,78978,Iii
,0,,TrialTroveID-078975,78975,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,CD200; GZMB; POLR3K,AGI-ALS-III-01 NCT00069186 Orphan Drug:01-1527 TrialTroveID-078693,78693,Iii
,0,,TrialTroveID-122392,122392,Ii
,1,,TrialTroveID-080471,80471,Iii
,0,,TrialTroveID-078980,78980,Ii
,0,,6302 AAAB6334 ALSA ID#920 IRB00002357 NCT00355576 TrialTroveID-078743,78743,Ii
,0,,ACTRN12619001639112 PMX-205-001 TrialTroveID-405701 U1111-1243-2230,405701,I
Prognostic,1,PICK1,04033101 NCT00127114,234390,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; CD200,AMBALS FLO-AMB-01 NCT05959850 TrialTroveID-478911,478911,Ii
,0,,AMDX-2011P NCT05542576 PROBE,442442,Iii
Diagnostic; Prognostic,0,ACTA1,TrialTroveID-078769,78769,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,GRN,AOBS-NEU-RPF-2011 EudraCT Number: 2011-004571-37 ReProIn-FTD TrialTroveID-313628,313628,Ii
Diagnostic,1,MNDA,TrialTroveID-080217,80217,Iii
,0,,NCT03103815 TrialTroveID-298816 WJ2017001,298816,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,AMT; CYP3A4; SOD1,AMT-162-001 NCT06100276 TrialTroveID-489925,489925,Iii
,0,,TrialTroveID-493738,493738,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CTSC; SOD1; TNF,ANA-ALS01 EudraCT Number: 2010-019218-26 NCT01277315 TrialTroveID-140927,140927,Ii
Diagnostic; Prognostic,0,LAT,NCT04204889 TOALS TrialTroveID-363866,363866,I
,0,,TrialTroveID-014876,14876,Ii
,0,,TrialTroveID-418152,418152,Ii
,0,,jRCTb050190128 PB5160011 TrialTroveID-312311 UMIN000024132,312311,I
Diagnostic; Predictive; Prognostic,0,MSC,TrialTroveID-294141,294141,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ASL; CD4; CD8A; MSC; TNF,CeTMad/ELA/2011 EudraCT Number: 2011-006254-85 NCT02290886 REec-2013-0095 TrialTroveID-191427,191427,Iii
,0,,ANX005-ALS-01 ANX005-IF-01 CCR-20-127 EudraCT Number: 2021-000325-26 NCT04569435 TrialTroveID-385677,385677,Ii
,0,,ANX005-CP01 NCT02937753 NCT03010046 TrialTroveID-293551,293551,I
Diagnostic; Predictive; Predisposing; Prognostic,0,NEFH; NEFL; SOD1,250403 AP-101-02 AP101-02 EudraCT Number: 2020-005971-11 NCT05039099 TrialTroveID-413450,413450,Ii
Diagnostic; Predisposing; Prognostic,0,TPO; TTLL5,AP101-01 NCT03981536 TrialTroveID-351306,351306,I
Predictive; Predisposing; Prognostic,1,CYP2C9; CYP3A4,LAM-002A-FTD-EAP NCT05483322 TrialTroveID-438542,438542,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,AKR1C1; CBS; CYP2C9; CYP3A4,LAM-002A-ALS-CLN01 NCT05163886 TrialTroveID-421066,421066,Ii
,0,,TrialTroveID-400873,400873,I
Diagnostic; Predictive; Predisposing; Prognostic,0,NPC1; NPC2; PICK1,NCT04316637 OR-ARI-EAP-NPC TrialTroveID-370535,370535,Other
Diagnostic; Predictive; Predisposing; Prognostic,1,TBX1,20180389 EudraCT Number: 2018-000137-13 NCT03491462 NL65582.041.18 ORARIALS-01 SNCTP000003805 TrialTroveID-317692,317692,Iii
,0,,TrialTroveID-080120,80120,Ii
,0,,AALS-001-Extension AALS-001-OL TrialTroveID-078851,78851,Ii
,0,FOLH1B,AALS-001 NCT00244244 TrialTroveID-078846,78846,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,albumin; CST3,EudraCT Number: 2019-000374-39 NCT03836716 NL69675.041.19 ORARIALS-02 SNCTP000003764 TrialTroveID-342818,342818,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,SOD1; TBX1,20100758 20101021 Arimoclomol in SOD1 fALS NCT00706147 TrialTroveID-093162,93162,Ii/Iii
,0,,TrialTroveID-080193,80193,I
,0,,TrialTroveID-080092,80092,I
,0,,AALS-003 NCT00561366 TrialTroveID-079897,79897,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP19A1; DCLK3; NEFL; PDSS1; SOD1,AROSOD1-1001 EudraCT Number: 2023-509032-26 NCT05949294 TrialTroveID-478079,478079,I
,0,,TrialTroveID-499424,499424,Iii
,0,,TrialTroveID-459727,459727,Ii
Prognostic,0,ATP2C1,ASTRO-001-IL NCT03482050 TrialTroveID-263255,263255,Iii
,0,,TrialTroveID-490059,490059,I
Prognostic,0,ATP2C1,ALS04 NCT04390386 TrialTroveID-374610,374610,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD4; NEFH,ALS-03 NCT04309604 TrialTroveID-369817,369817,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CUX1; HCLS1; KHSRP; PSIP1; TCF3; TNFRSF1B,ALS03 NCT03508453 TrialTroveID-323146,323146,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CUX1; HCLS1; KHSRP; NTSR1; PSIP1; TCF3; TNFRSF1B,ALS01 NCT03487263 TrialTroveID-321826,321826,I
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; CUX1; HCLS1; KHSRP; PSIP1; TCF3; TNFRSF1B; TSPO,ALS02 NCT03474263 TrialTroveID-320908,320908,Ii
,0,,TrialTroveID-079879,79879,Ii
,0,,lj11128 NCT04391361 TrialTroveID-374769,374769,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CRP; TNF,HBALS01 NCT04514952 TrialTroveID-382158,382158,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CST7; MPG,EudraCT Number: 2019-002302-46 IMIB-TCIM/ELAII-2019-01 NCT04849065 TCIM-ELAII TrialTroveID-361959,361959,Ii
Diagnostic; Predictive; Prognostic,0,MSC,AMSC in ALS AMSC-ALS-001 EudraCT number: 2011-000362-35 NCT03828123 TrialTroveID-165435,165435,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,MS4A2; MSC; NEFL,15-008008 NCT03268603 TrialTroveID-308228,308228,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,MSC; MSR1; PICALM; TBX1; TGFB1; VEGFA,BCT-002-US CIRM CLIN2-0989 NCT03280056 TrialTroveID-293113,293113,Iii
,0,,TrialTroveID-271339,271339,Ii
Diagnostic; Predictive; Prognostic,0,GGT1; MSC,MSC-NTF-002-HMO-CTIL NCT01777646 TrialTroveID-181174,181174,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ELSPBP1; MSC; VEGFA,BCT-001-US NCT02017912 TrialTroveID-122551,122551,Ii
Diagnostic; Predictive; Prognostic,0,MNDA; MSC,MSC-NTF 28/12/09 MSC-NTF-001-HMO-CTIL NCT01051882 TrialTroveID-121611,121611,Iii
Diagnostic; Predictive; Prognostic,0,CD200; MARCHF1,EudraCT Number: 2009-014484-39 hNSCALS NCT01640067 TrialTroveID-171191,171191,I
Diagnostic; Predictive; Prognostic,0,CD200,IRCT201107221696N3 TrialTroveID-151759,151759,Ii
,0,,IRCT20200828048551N1 TrialTroveID-404742,404742,Ii
Diagnostic; Predictive; Prognostic,0,MSC,0208-16-HMO NCT04821479 TrialTroveID-400308,400308,Iii
Diagnostic; Predictive; Prognostic,0,MSC,TrialTroveID-393178,393178,Ii
,0,,jRCT2013190010 TrialTroveID-376371,376371,Ii
,0,,NCT03067857 SCA-MND1 TrialTroveID-296758,296758,Iii
,0,,NCT02987413 TrialTroveID-292145,292145,I
Diagnostic; Predictive; Predisposing; Prognostic,0,ARHGEF7; BDNF; CD40; GDNF; HGF; MSC; SERPINF1; VEGFA,401922/2014-6 NCT02917681 TrialTroveID-287450,287450,Iii
Diagnostic; Predictive; Prognostic,0,MSC,NCT02881489 TrialTroveID-285529 UWM/ALS-MSC.2015/002 UwmBmmscALS,285529,I
Diagnostic; Predictive; Prognostic,0,MSC,09-001995 NCT01142856 TrialTroveID-225119,225119,I
,0,,NCT02242071 NGBSI-10 TrialTroveID-217041,217041,I
Diagnostic; Predictive; Prognostic,0,CD200; CST7; DAND5,EudraCT Number: 2011-004801-25 NCT02286011 TCIM ELA TCIM-ELA TCIM/ELA TrialTroveID-213436,213436,I
,0,,ALS-BMSC #01 NCT02193893 NeuStem-ALS TrialTroveID-213322 ZPO 02,213322,I
,0,,NCT02116634 TrialTroveID-207245,207245,Iii
,1,,NCT01933321 TrialTroveID-193196,193196,Ii/Iii
Predictive; Prognostic,0,CUBN,NCT01771640 Royan-Nerve-006 TrialTroveID-180658,180658,I
Predictive; Prognostic,0,CUBN,NCT01759797 Royan-Nerve-005 TrialTroveID-180040,180040,I
Predictive; Prognostic,0,CUBN,NCT01759784 Royan-Nerve-004 TrialTroveID-179958,179958,I
Prognostic,0,LIPA,TrialTroveID-177338,177338,Ii
,0,,TrialTroveID-175665,175665,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ARID1A; MSC,11-008415 NCT01609283 TrialTroveID-168986,168986,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; MUC1; PIM1,EC07/90762 EudraCT Number: 2006-003096-12 Extension CMN/ELA NCT01254539 TrialTroveID-139000,139000,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ANG; BDNF; FGF1; HGF; IGF1; KARS1; NANOG; PIGF; TYMP; VEGFA,TrialTroveID-137610,137610,Ii
Diagnostic; Predictive; Prognostic,0,MSC,TrialTroveID-128341,128341,I
,0,,TrialTroveID-128299,128299,Ii
Diagnostic; Predictive; Prognostic,0,MSC,TrialTroveID-125440,125440,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD200; CD34; THY1,CMN/ELA EudraCT number: 2006-003096-12 ISCIII: EC07/90762 NCT00855400 TrialTroveID-105299,105299,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD40; CD83; CD86; IFNG; MSC,TrialTroveID-099163,99163,Iii
,0,,TrialTroveID-079164,79164,I
,0,,2008-ALS-I NCT01082653 TrialTroveID-121274,121274,I
Diagnostic; Predisposing; Prognostic,0,APOE; CDR1; PSPH; RUNX1T1,201800984A0 NCT04309253,369824,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CDR1; GRN; RUNX1T1,ASPIRE-FTD AVB-PGRN-001 EudraCT Number:2022-002568-62 FTD-GRN NCT06064890 NL82614.000.22 TrialTroveID-487580,487580,Iii
,0,,TrialTroveID-319862,319862,I
Diagnostic; Prognostic,0,CTSC; ZMYM2,TrialTroveID-121202,121202,Ii
Diagnostic; Predictive; Prognostic,0,DDC,BT-BLF-O-BE-01 CTR20233503 TrialTroveID-495473,495473,I
Diagnostic; Predictive; Prognostic,0,DDC,CTR20222440 FH-BE-BLF TrialTroveID-447098,447098,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CCL2; CXCL10; DOCK3; EIF2AK2; IFNG; NEFL,NADALS NCT05189106 TrialTroveID-422687,422687,Iii
Diagnostic; Prognostic,0,LIMS1,JapicCTI-173709 jRCTs031180058 TrialTroveID-328541,328541,Ii
Diagnostic; Prognostic,0,LIMS1,JapicCTI-173708 jRCTs031180059 TrialTroveID-328535,328535,Ii
Diagnostic; Prognostic,0,LIMS1,JapicCTI-153050 TrialTroveID-328269,328269,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ABCG2,261AS101 NCT03945279 TrialTroveID-342190,342190,I
,0,,TrialTroveID-294783,294783,I
Prognostic,0,PICK1,38RC13.200 NCT02841358 NPCPsy,283026,(N/A)
,0,,BIO-2017-0270 NCT03427086 TrialTroveID-318345,318345,Ii
,0,,BASEC2022-02098 BL-001-1001 NCT05818306 SNCTP000005554 TrialTroveID-455406,455406,I
Predictive; Predisposing; Prognostic,0,FEV; SOD1,GENIALS NCT04819555 RIPH3-RNI20-GENIALS,435206,Other
,0,,DIAGALS DR230136 NCT06230562,502002,Other
Diagnostic; Predictive; Predisposing; Prognostic,0,LEP,2020_26 2021-A00879-32 BIOWATCH NCT05288842,427868,Other
,0,,TrialTroveID-197280,197280,I
Diagnostic; Predictive; Predisposing; Prognostic,0,IL2RA; ISG20; TNF,IRCT20160809029275N2 TrialTroveID-402477,402477,Ii
,0,,jRCT2051220002 TrialTroveID-432754,432754,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CUX1; HCLS1; KHSRP; PSIP1; SOD1; TCF3; TNFRSF1B,jRCTs051180229 TrialTroveID-406623,406623,Iii
Predictive; Predisposing; Prognostic,0,CYP3A4; SOD1,iDReAM JMA-IIA00419 jRCT1090220419 jRCT2051190001 NCT04744532 TrialTroveID-348435 UMIN000036295 WI240618,348435,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CDR1; L1CAM; RUNX1T1,062016 NCT02921477 TrialTroveID-287785,287785,I
Diagnostic; Predictive; Predisposing; Prognostic,1,CD200; CMAS,ChiCTR2200061794 TrialTroveID-437586,437586,Iv
Predictive; Prognostic,1,BDNF,TrialTroveID-079389,79389,Ii/Iii
,0,,CLMI070A02104 EudraCT Number: 2021-000298-10 ISRCTN77772103 NCT05330286 QSC205070 TrialTroveID-429802,429802,I
Diagnostic; Predisposing; Prognostic,0,ARHGEF2; ARID4B; CTSC; IL9; PSMD7,TrialTroveID-198310,198310,Other
,0,,08R-103 JPRN-UMIN000008527 TrialTroveID-171734 UMIN000008527,171734,Ii
,1,,IRCT20201020049089N1 TrialTroveID-404984,404984,Ii/Iii
,0,,TrialTroveID-429124,429124,I
Diagnostic; Predictive; Prognostic,0,ECSCR; NRG1; PPP1R12A,12-007139 NCT01723553,229561,I
,0,,19-009999 AND1 NCT04680130,392523,Other
Diagnostic; Predictive; Predisposing; Prognostic,1,albumin; CST3; CST7; CUX1; HCLS1; KHSRP; PSIP1; TCF3; TNFRSF1B,CPMS 53777 EudraCT Number: 2020-000579-19 ISRCTN15671139 MAGNET NCT06008249 NL76763.041.21 TrialTroveID-482552,482552,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; BDNF; TESS-2,NCT02862210 NYSPI 7310 TrialTroveID-284202,284202,Ii
Predictive; Predisposing; Prognostic,0,BOLL; SOD1,TrialTroveID-172823,172823,Other
,1,,EMERALD-OLE GCMR0001-OLE NCT04997954 TrialTroveID-410990,410990,Iv
Diagnostic; Prognostic,1,ASL,GCMR0001 NCT03690791 TrialTroveID-327987,327987,Iii
,0,,TrialTroveID-294518,294518,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,SCD; WASPA,NCT03944447 OMNI-Can Pro00033337 TrialTroveID-349174,349174,Iv
,0,,IRB201602098-N NCT02962050 R01NS100859,290564,Other
,0,RUBCNL,NCT02710110 TrialTroveID-274911,274911,I
,0,RUBCNL,IRB201600163 NCT02710162,274908,(N/A)
Diagnostic,0,CTSC,NCT03929068 Sinemet-001 TrialTroveID-348375,348375,I
,1,,EudraCT Number: 2007-002379-16 TrialTroveID-109547,109547,Iv
Diagnostic; Predictive; Predisposing; Prognostic,0,C5AR1; CHIT1; complement C5; CRP; FCN3; GABPA; HMOX1; IFNG; NFE2L2; TREM2; TXN; VEGFA,CC100B NCT03049046 TrialTroveID-295588,295588,I
,0,,CC100A NCT02050334 TrialTroveID-201835,201835,I
,0,,TrialTroveID-078192,78192,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CSF1R; MTOR; SLA,2289/2007 EudraCT Number: 2007-004165-17 TrialTroveID-109374,109374,Ii
,0,,Internal-16964 NCT00718393 TrialTroveID-094243,94243,I
Prognostic,1,FOLH1B; MIEN1,TrialTroveID-078869,78869,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,FUS,17-0159-F6A NCT03707795 TRANSLATE TrialTroveID-334799,334799,I
Diagnostic; Prognostic,0,ABRA; STAR,NCT02666963 RTA 901-C-1503 TrialTroveID-272113,272113,I
Predictive; Prognostic,0,ASPRV1; CDR1; insulin A1C; RUNX1T1,153073 CCR-21-69 EudraCT Number: 2021-002251-11 NCT04993755 TPN-101-C9-201 TrialTroveID-410706,410706,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,FAS,TrialTroveID-105840,105840,Ii
,0,,TrialTroveID-496749,496749,Ii
,1,,TrialTroveID-458257,458257,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,CAV2; CYP1A2; CYP2C9,NCT05436678 NST-PK-003 TrialTroveID-435753,435753,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP1A2; CYP2C9,NCT05232461 NST-PK-001 TrialTroveID-424645,424645,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CYP2C9; DICER1; MAP1LC3A; transferrin,EudraCT Number: 2022-002185-32 MOH_2022-04-27_010760 NCT05357950 NST003 PARADIGM TrialTroveID-384235,384235,Ii
Diagnostic; Prognostic,0,CBY2; MAP1LC3A,NCT04165850 NST002 TrialTroveID-361518,361518,Ii
,0,,NCT04090684 NST001 TrialTroveID-357284,357284,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,ADAMTS2; HPSE; PRL,07-48 218-2006 NCT00376051,236790,Iv
,0,,TrialTroveID-121291,121291,Ii
Diagnostic,0,MNDA,TrialTroveID-120980,120980,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ATP2C1; NEFL; TBX1,CK0803-101-1 NCT05695521 REGALS TrialTroveID-443188,443188,I
,0,,TrialTroveID-407238,407238,I
,0,,jRCT2063200047 TrialTroveID-398906,398906,Ii
,0,,NCT04245709 TrialTroveID-366483,366483,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,ARID1A,TrialTroveID-121197,121197,Ii
,0,,TrialTroveID-505607,505607,Ii
,1,,RESTORE-ALS TrialTroveID-475642,475642,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; ADM; CST7,CNMAu8.205 OLE NCT05299658 TrialTroveID-428461,428461,Ii
Diagnostic; Prognostic,0,INPP5D,CNMAu8.EAP02 EAP02 NCT05281484 TrialTroveID-414605,414605,Ii
Diagnostic; Predictive; Predisposing; Prognostic,1,ATP2C1; GALE; NEFL; TBX1,2019P003518C HEALEY ALS Platform Trial - Regimen C NCT04414345 SFD20018-C TrialTroveID-376187,376187,Ii/Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,ADAMTS2; ADM; CST7; TBX1,CNMAu8.205 NCT04098406 RESCUE-ALS TrialTroveID-357443,357443,Ii
,0,,CNMAu8.EAP01 EAP01 NCT04081714 TrialTroveID-356802,356802,Ii
Diagnostic; Prognostic,0,GYPC; UGP2,CNMAu8.203 NCT03843710 REPAIR-ALS TrialTroveID-343595,343595,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CSN3; CST7; GDNF; LIMS1; NPC1,NCT05306457 STUDY00000278 TrialTroveID-428784,428784,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CSN3; CST7; GDNF; NPC1,NCT02943850 Pro00042350 TrialTroveID-289249,289249,Iii
Diagnostic; Predisposing; Prognostic,1,AGO2; CDR1; RUNX1T1,jRCTs061180062 TrialTroveID-313732 UMIN000019587,313732,Iii
Diagnostic; Predisposing; Prognostic,0,AGO2,TrialTroveID-079174,79174,Ii
