ClinicalTrials.gov Sites Count,reached_phase_3_plus,Protocol/Trial ID,Countries Count,ClinicalTrials.gov Location Country,Trial.ID,Countries,Reported Sites,Trial Region,Identified Sites,Trial Phase
1,0,KY2023-252-01 NCT06181526 SPECIALS TrialTroveID-497466,1.0,China,497466,China,1.0,Asia,1.0,I
,1,TrialTroveID-294333,1.0,,294333,United States,,Americas; North America,,Iii
,0,GALS-C TrialTroveID-250098,1.0,,250098,United States,,Americas; North America,,I
2,0,GALS GALS 001 NCT01854294 TrialTroveID-186232,1.0,United States,186232,United States,2.0,Americas; North America,3.0,Ii
1,0,IRCT20080728001031N26 NCT02492516 Royan-Nerve-008 TrialTroveID-261007,1.0,"Iran, Islamic Republic Of",261007,Iran,1.0,Western Asia/Middle East,2.0,I
1,0,NCT05003921 SC-7-ATG-7-01 TrialTroveID-411366,1.0,Antigua And Barbuda,411366,Antigua and Barbuda,1.0,Americas; Caribbean/Central America,1.0,I
,0,NCT02881476 TrialTroveID-285498 UWM/ALS-MSC.2015/001 UwmWjmscAls,1.0,,285498,Poland,1.0,Eastern Europe; Europe,5.0,I
1,0,20111207ALS NCT01494480 TrialTroveID-158813,1.0,China,158813,China,1.0,Asia,1.0,Ii
1,0,NCT02236065 TrialTroveID-216528 UCBnG-CSF,1.0,"Korea, Republic Of",216528,South Korea,1.0,Asia,1.0,Ii
,0,2023-510344-20-00 ALN-SOD-ALS-2351 NCT06351592 TrialTroveID-511787,,,511787,,,(N/A),,I
2,0,2 ALSParadigm NCT03073239,1.0,Portugal,454913,Portugal,1.0,Europe; Western Europe,,Other
,1,TrialTroveID-078982,1.0,,78982,United States,,Americas; North America,,Iii
,0,TrialTroveID-078979,1.0,,78979,United States,,Americas; North America,1.0,I
,1,NEALS TrialTroveID-078978,1.0,,78978,United States,,Americas; North America,15.0,Iii
,0,TrialTroveID-078975,1.0,,78975,United States,,Americas; North America,1.0,Ii
8,1,AGI-ALS-III-01 NCT00069186 Orphan Drug:01-1527 TrialTroveID-078693,1.0,United States,78693,United States,8.0,Americas; North America,10.0,Iii
,0,TrialTroveID-122392,1.0,,122392,United States,,Americas; North America,,Ii
,1,TrialTroveID-080471,,,80471,,,(N/A),,Iii
,0,TrialTroveID-078980,1.0,,78980,United States,,Americas; North America,,Ii
19,0,6302 AAAB6334 ALSA ID#920 IRB00002357 NCT00355576 TrialTroveID-078743,1.0,United States,78743,United States,19.0,Americas; North America,20.0,Ii
,0,ACTRN12619001639112 PMX-205-001 TrialTroveID-405701 U1111-1243-2230,1.0,,405701,Australia,1.0,Australia/Oceania,1.0,I
1,1,04033101 NCT00127114,1.0,United States,234390,United States,,Americas; North America,,Iv
5,0,AMBALS FLO-AMB-01 NCT05959850 TrialTroveID-478911,1.0,Australia,478911,Australia,5.0,Australia/Oceania,6.0,Ii
2,0,AMDX-2011P NCT05542576 PROBE,1.0,United States,442442,United States,2.0,Americas; North America,,Iii
,0,TrialTroveID-078769,1.0,,78769,Brazil,,Americas; South America,2.0,Ii
,0,AOBS-NEU-RPF-2011 EudraCT Number: 2011-004571-37 ReProIn-FTD TrialTroveID-313628,1.0,,313628,Italy,1.0,Europe; Western Europe,1.0,Ii
,1,TrialTroveID-080217,1.0,,80217,Russia,,Eastern Europe; Europe,2.0,Iii
1,0,NCT03103815 TrialTroveID-298816 WJ2017001,1.0,China,298816,China,1.0,Asia,1.0,Ii
,0,AMT-162-001 NCT06100276 TrialTroveID-489925,1.0,,489925,United States,,Americas; North America,,Iii
,0,TrialTroveID-493738,,,493738,,,(N/A),,I
1,0,ANA-ALS01 EudraCT Number: 2010-019218-26 NCT01277315 TrialTroveID-140927,1.0,Germany,140927,Germany,1.0,Europe; Western Europe,3.0,Ii
1,0,NCT04204889 TOALS TrialTroveID-363866,1.0,United States,363866,United States,1.0,Americas; North America,1.0,I
,0,TrialTroveID-014876,2.0,,14876,Greece; United States,,Americas; Europe; North America; Western Europe,2.0,Ii
,0,TrialTroveID-418152,1.0,,418152,Japan,,Asia,4.0,Ii
,0,jRCTb050190128 PB5160011 TrialTroveID-312311 UMIN000024132,1.0,,312311,Japan,1.0,Asia,4.0,I
,0,TrialTroveID-294141,1.0,,294141,United States,,Americas; North America,2.0,I
4,0,CeTMad/ELA/2011 EudraCT Number: 2011-006254-85 NCT02290886 REec-2013-0095 TrialTroveID-191427,1.0,Spain,191427,Spain,4.0,Europe; Western Europe,6.0,Iii
5 6,0,ANX005-ALS-01 ANX005-IF-01 CCR-20-127 EudraCT Number: 2021-000325-26 NCT04569435 TrialTroveID-385677,3.0,Canada United States,385677,Canada; France; United States,11.0,Americas; Europe; North America; Western Europe,2.0,Ii
1,0,ANX005-CP01 NCT02937753 NCT03010046 TrialTroveID-293551,1.0,Australia,293551,Australia,1.0,Australia/Oceania,1.0,I
1 4 4 1 2 1,0,250403 AP-101-02 AP101-02 EudraCT Number: 2020-005971-11 NCT05039099 TrialTroveID-413450,5.0,"Belgium Canada Germany Korea, Republic Of Sweden United States",413450,Canada; Germany; South Korea; Sweden; United States,13.0,Americas; Asia; Europe; North America; Western Europe,14.0,Ii
3,0,AP101-01 NCT03981536 TrialTroveID-351306,1.0,Canada,351306,Canada,3.0,Americas; North America,5.0,I
,1,LAM-002A-FTD-EAP NCT05483322 TrialTroveID-438542,,,438542,,,(N/A),,Iv
3,0,LAM-002A-ALS-CLN01 NCT05163886 TrialTroveID-421066,1.0,United States,421066,United States,3.0,Americas; North America,4.0,Ii
,0,TrialTroveID-400873,,,400873,,,(N/A),,I
13,0,NCT04316637 OR-ARI-EAP-NPC TrialTroveID-370535,3.0,United States,370535,France; Germany; United States,13.0,Americas; Europe; North America; Western Europe,15.0,Other
1 3 2 3 2 1 2 2 1 1 1 10,1,20180389 EudraCT Number: 2018-000137-13 NCT03491462 NL65582.041.18 ORARIALS-01 SNCTP000003805 TrialTroveID-317692,13.0,Belgium Canada France Germany Italy Netherlands Poland Spain Sweden Switzerland United Kingdom United States,317692,Belgium; Canada; Denmark; France; Germany; Italy; Netherlands; Poland; Spain; Sweden; Switzerland; United Kingdom; United States,29.0,Americas; Eastern Europe; Europe; North America; Western Europe,36.0,Iii
,0,TrialTroveID-080120,,,80120,,,(N/A),,Ii
,0,AALS-001-Extension AALS-001-OL TrialTroveID-078851,1.0,,78851,United States,,Americas; North America,3.0,Ii
10,0,AALS-001 NCT00244244 TrialTroveID-078846,1.0,United States,78846,United States,10.0,Americas; North America,17.0,Ii
1 1 2 3 2 1 2 2 1 1 7,1,EudraCT Number: 2019-000374-39 NCT03836716 NL69675.041.19 ORARIALS-02 SNCTP000003764 TrialTroveID-342818,13.0,Belgium Canada France Germany Italy Netherlands Poland Spain Sweden United Kingdom United States,342818,Belgium; Canada; Denmark; France; Germany; Italy; Netherlands; Poland; Spain; Sweden; Switzerland; United Kingdom; United States,23.0,Americas; Eastern Europe; Europe; North America; Western Europe,29.0,Iii
2,1,20100758 20101021 Arimoclomol in SOD1 fALS NCT00706147 TrialTroveID-093162,2.0,United States,93162,Canada; United States,2.0,Americas; North America,11.0,Ii/Iii
,0,TrialTroveID-080193,,,80193,,1.0,Europe,,I
,0,TrialTroveID-080092,1.0,,80092,United States,,Americas; North America,,I
4 31,0,AALS-003 NCT00561366 TrialTroveID-079897,2.0,Canada United States,79897,Canada; United States,35.0,Americas; North America,37.0,Ii
,0,AROSOD1-1001 EudraCT Number: 2023-509032-26 NCT05949294 TrialTroveID-478079,1.0,,478079,Australia,,Australia/Oceania,,I
,0,TrialTroveID-499424,,,499424,,,(N/A),,Iii
,0,TrialTroveID-459727,1.0,,459727,United States,,Americas; North America,,Ii
1,0,ASTRO-001-IL NCT03482050 TrialTroveID-263255,1.0,Israel,263255,Israel,1.0,Western Asia/Middle East,1.0,Iii
,0,TrialTroveID-490059,,,490059,,,(N/A),,I
1,0,ALS04 NCT04390386 TrialTroveID-374610,1.0,United States,374610,United States,1.0,Americas; North America,1.0,Ii
1,0,ALS-03 NCT04309604 TrialTroveID-369817,1.0,United States,369817,United States,,Americas; North America,1.0,I
1,0,ALS03 NCT03508453 TrialTroveID-323146,1.0,Australia,323146,Australia,1.0,Australia/Oceania,1.0,Ii
1,0,ALS01 NCT03487263 TrialTroveID-321826,1.0,Australia,321826,Australia,1.0,Australia/Oceania,1.0,I
1,0,ALS02 NCT03474263 TrialTroveID-320908,1.0,Australia,320908,Australia,1.0,Australia/Oceania,2.0,Ii
,0,TrialTroveID-079879,1.0,,79879,United States,,Americas; North America,1.0,Ii
1,0,lj11128 NCT04391361 TrialTroveID-374769,1.0,China,374769,China,1.0,Asia,1.0,Ii
1,0,HBALS01 NCT04514952 TrialTroveID-382158,1.0,United States,382158,United States,1.0,Americas; North America,1.0,I
1,0,EudraCT Number: 2019-002302-46 IMIB-TCIM/ELAII-2019-01 NCT04849065 TCIM-ELAII TrialTroveID-361959,1.0,Spain,361959,Spain,3.0,Europe; Western Europe,4.0,Ii
,0,AMSC in ALS AMSC-ALS-001 EudraCT number: 2011-000362-35 NCT03828123 TrialTroveID-165435,1.0,,165435,Czech Republic,1.0,Eastern Europe; Europe,3.0,Iii
3,0,15-008008 NCT03268603 TrialTroveID-308228,1.0,United States,308228,United States,3.0,Americas; North America,3.0,Ii
6,1,BCT-002-US CIRM CLIN2-0989 NCT03280056 TrialTroveID-293113,2.0,United States,293113,Israel; United States,6.0,Americas; North America; Western Asia/Middle East,12.0,Iii
,0,TrialTroveID-271339,1.0,,271339,Israel,1.0,Western Asia/Middle East,1.0,Ii
1,0,MSC-NTF-002-HMO-CTIL NCT01777646 TrialTroveID-181174,1.0,Israel,181174,Israel,1.0,Western Asia/Middle East,2.0,Ii
3,0,BCT-001-US NCT02017912 TrialTroveID-122551,1.0,United States,122551,United States,3.0,Americas; North America,6.0,Ii
1,0,MSC-NTF 28/12/09 MSC-NTF-001-HMO-CTIL NCT01051882 TrialTroveID-121611,1.0,Israel,121611,Israel,1.0,Western Asia/Middle East,2.0,Iii
1,0,EudraCT Number: 2009-014484-39 hNSCALS NCT01640067 TrialTroveID-171191,1.0,Italy,171191,Italy,1.0,Europe; Western Europe,7.0,I
,0,IRCT201107221696N3 TrialTroveID-151759,1.0,,151759,Iran,1.0,Western Asia/Middle East,2.0,Ii
,0,IRCT20200828048551N1 TrialTroveID-404742,1.0,,404742,Iran,1.0,Western Asia/Middle East,1.0,Ii
,0,0208-16-HMO NCT04821479 TrialTroveID-400308,1.0,,400308,Israel,1.0,Western Asia/Middle East,1.0,Iii
,0,TrialTroveID-393178,1.0,,393178,South Korea,,Asia,1.0,Ii
,0,jRCT2013190010 TrialTroveID-376371,1.0,,376371,Japan,1.0,Asia,1.0,Ii
,0,NCT03067857 SCA-MND1 TrialTroveID-296758,1.0,,296758,Saudi Arabia,,Western Asia/Middle East,,Iii
2,0,NCT02987413 TrialTroveID-292145,1.0,Brazil,292145,Brazil,2.0,Americas; South America,3.0,I
1,0,401922/2014-6 NCT02917681 TrialTroveID-287450,1.0,Brazil,287450,Brazil,1.0,Americas; South America,4.0,Iii
,0,NCT02881489 TrialTroveID-285529 UWM/ALS-MSC.2015/002 UwmBmmscALS,1.0,,285529,Poland,,Eastern Europe; Europe,3.0,I
1,0,09-001995 NCT01142856 TrialTroveID-225119,1.0,United States,225119,United States,1.0,Americas; North America,1.0,I
1,0,NCT02242071 NGBSI-10 TrialTroveID-217041,1.0,India,217041,India,1.0,Asia,1.0,I
1,0,EudraCT Number: 2011-004801-25 NCT02286011 TCIM ELA TCIM-ELA TCIM/ELA TrialTroveID-213436,1.0,Spain,213436,Spain,1.0,Europe; Western Europe,6.0,I
1,0,ALS-BMSC #01 NCT02193893 NeuStem-ALS TrialTroveID-213322 ZPO 02,1.0,Poland,213322,Poland,1.0,Eastern Europe; Europe,1.0,I
1,0,NCT02116634 TrialTroveID-207245,1.0,"Iran, Islamic Republic Of",207245,Iran,1.0,Western Asia/Middle East,1.0,Iii
1,1,NCT01933321 TrialTroveID-193196,1.0,Mexico,193196,Mexico,1.0,Americas; North America,1.0,Ii/Iii
1,0,NCT01771640 Royan-Nerve-006 TrialTroveID-180658,1.0,"Iran, Islamic Republic Of",180658,Iran,1.0,Western Asia/Middle East,3.0,I
1,0,NCT01759797 Royan-Nerve-005 TrialTroveID-180040,1.0,"Iran, Islamic Republic Of",180040,Iran,1.0,Western Asia/Middle East,3.0,I
1,0,NCT01759784 Royan-Nerve-004 TrialTroveID-179958,1.0,"Iran, Islamic Republic Of",179958,Iran,1.0,Western Asia/Middle East,3.0,I
,0,TrialTroveID-177338,1.0,,177338,India,1.0,Asia,1.0,Ii
,0,TrialTroveID-175665,1.0,,175665,Greece,,Europe; Western Europe,4.0,Ii
1,0,11-008415 NCT01609283 TrialTroveID-168986,1.0,United States,168986,United States,1.0,Americas; North America,1.0,I
1,0,EC07/90762 EudraCT Number: 2006-003096-12 Extension CMN/ELA NCT01254539 TrialTroveID-139000,1.0,Spain,139000,Spain,1.0,Europe; Western Europe,1.0,Iii
,0,TrialTroveID-137610,1.0,,137610,South Korea,,Asia,1.0,Ii
,0,TrialTroveID-128341,1.0,,128341,Italy,,Europe; Western Europe,7.0,I
,0,TrialTroveID-128299,1.0,,128299,Turkey,,Europe; Western Europe,3.0,Ii
,0,TrialTroveID-125440,2.0,,125440,Greece; United States,,Americas; Europe; North America; Western Europe,3.0,Ii
1,0,CMN/ELA EudraCT number: 2006-003096-12 ISCIII: EC07/90762 NCT00855400 TrialTroveID-105299,1.0,Spain,105299,Spain,2.0,Europe; Western Europe,3.0,Iii
,0,TrialTroveID-099163,2.0,,99163,Greece; Israel,,Europe; Western Asia/Middle East; Western Europe,4.0,Iii
,0,TrialTroveID-079164,1.0,,79164,Italy,,Europe; Western Europe,5.0,I
1,0,2008-ALS-I NCT01082653 TrialTroveID-121274,1.0,United States,121274,United States,1.0,Americas; North America,,I
1,0,201800984A0 NCT04309253,1.0,Taiwan,369824,"Taiwan, China",1.0,Asia,,Ii
1 6 2,0,ASPIRE-FTD AVB-PGRN-001 EudraCT Number:2022-002568-62 FTD-GRN NCT06064890 NL82614.000.22 TrialTroveID-487580,8.0,Netherlands Poland Spain,487580,Belgium; France; Italy; Netherlands; Poland; Spain; United Kingdom; United States,12.0,Americas; Eastern Europe; Europe; North America; Western Europe,10.0,Iii
,0,TrialTroveID-319862,,,319862,,,(N/A),,I
,0,TrialTroveID-121202,1.0,,121202,Switzerland,,Europe; Western Europe,3.0,Ii
,0,BT-BLF-O-BE-01 CTR20233503 TrialTroveID-495473,1.0,,495473,China,1.0,Asia,1.0,I
,0,CTR20222440 FH-BE-BLF TrialTroveID-447098,1.0,,447098,China,1.0,Asia,1.0,I
2,0,NADALS NCT05189106 TrialTroveID-422687,1.0,United States,422687,United States,2.0,Americas; North America,3.0,Iii
,0,JapicCTI-173709 jRCTs031180058 TrialTroveID-328541,1.0,,328541,Japan,1.0,Asia,1.0,Ii
,0,JapicCTI-173708 jRCTs031180059 TrialTroveID-328535,1.0,,328535,Japan,1.0,Asia,1.0,Ii
,0,JapicCTI-153050 TrialTroveID-328269,1.0,,328269,Japan,,Asia,,Ii
9,0,261AS101 NCT03945279 TrialTroveID-342190,1.0,United States,342190,United States,9.0,Americas; North America,11.0,I
,0,TrialTroveID-294783,,,294783,,,(N/A),,I
1,0,38RC13.200 NCT02841358 NPCPsy,1.0,France,283026,France,,Europe; Western Europe,,(N/A)
1,0,BIO-2017-0270 NCT03427086 TrialTroveID-318345,1.0,Lebanon,318345,Lebanon,1.0,Western Asia/Middle East,1.0,Ii
1,0,BASEC2022-02098 BL-001-1001 NCT05818306 SNCTP000005554 TrialTroveID-455406,1.0,Switzerland,455406,Switzerland,1.0,Europe; Western Europe,1.0,I
20,0,GENIALS NCT04819555 RIPH3-RNI20-GENIALS,1.0,France,435206,France,20.0,Europe; Western Europe,,Other
,0,DIAGALS DR230136 NCT06230562,,,502002,,,,,Other
1,0,2020_26 2021-A00879-32 BIOWATCH NCT05288842,1.0,France,427868,France,1.0,Europe; Western Europe,,Other
,0,TrialTroveID-197280,1.0,,197280,South Korea,,Asia,,I
,0,IRCT20160809029275N2 TrialTroveID-402477,1.0,,402477,Iran,1.0,Western Asia/Middle East,1.0,Ii
,0,jRCT2051220002 TrialTroveID-432754,1.0,,432754,Japan,7.0,Asia,6.0,Iii
,0,jRCTs051180229 TrialTroveID-406623,1.0,,406623,Japan,7.0,Asia,8.0,Iii
7,0,iDReAM JMA-IIA00419 jRCT1090220419 jRCT2051190001 NCT04744532 TrialTroveID-348435 UMIN000036295 WI240618,1.0,Japan,348435,Japan,7.0,Asia,9.0,Iii
1,0,062016 NCT02921477 TrialTroveID-287785,1.0,United States,287785,United States,1.0,Americas; North America,6.0,I
,1,ChiCTR2200061794 TrialTroveID-437586,1.0,,437586,China,1.0,Asia,1.0,Iv
,1,TrialTroveID-079389,1.0,,79389,Germany,,Europe; Western Europe,2.0,Ii/Iii
1,0,CLMI070A02104 EudraCT Number: 2021-000298-10 ISRCTN77772103 NCT05330286 QSC205070 TrialTroveID-429802,1.0,United Kingdom,429802,United Kingdom,1.0,Europe; Western Europe,1.0,I
,0,TrialTroveID-198310,1.0,,198310,Italy,,Europe; Western Europe,1.0,Other
,0,08R-103 JPRN-UMIN000008527 TrialTroveID-171734 UMIN000008527,1.0,,171734,Japan,3.0,Asia,11.0,Ii
,1,IRCT20201020049089N1 TrialTroveID-404984,1.0,,404984,Iran,1.0,Western Asia/Middle East,1.0,Ii/Iii
,0,TrialTroveID-429124,,,429124,,,(N/A),,I
1,0,12-007139 NCT01723553,1.0,United States,229561,United States,,Americas; North America,,I
1,0,19-009999 AND1 NCT04680130,1.0,United States,392523,United States,1.0,Americas; North America,,Other
6 1 1 1 1 3,1,CPMS 53777 EudraCT Number: 2020-000579-19 ISRCTN15671139 MAGNET NCT06008249 NL76763.041.21 TrialTroveID-482552,7.0,Australia Belgium Netherlands Spain Sweden United Kingdom,482552,Australia; Belgium; Ireland; Netherlands; Spain; Sweden; United Kingdom,15.0,Australia/Oceania; Europe; Western Europe,23.0,Iii
1,0,NCT02862210 NYSPI 7310 TrialTroveID-284202,1.0,United States,284202,United States,1.0,Americas; North America,2.0,Ii
,0,TrialTroveID-172823,1.0,,172823,Mexico,,Americas; North America,1.0,Other
1,1,EMERALD-OLE GCMR0001-OLE NCT04997954 TrialTroveID-410990,1.0,Australia,410990,Australia,1.0,Australia/Oceania,1.0,Iv
1,1,GCMR0001 NCT03690791 TrialTroveID-327987,1.0,Australia,327987,Australia,1.0,Australia/Oceania,1.0,Iii
,0,TrialTroveID-294518,1.0,,294518,Canada,2.0,Americas; North America,5.0,Ii
17,1,NCT03944447 OMNI-Can Pro00033337 TrialTroveID-349174,1.0,United States,349174,United States,17.0,Americas; North America,1.0,Iv
2,0,IRB201602098-N NCT02962050 R01NS100859,1.0,United States,290564,United States,2.0,Americas; North America,,Other
1,0,NCT02710110 TrialTroveID-274911,1.0,United States,274911,United States,1.0,Americas; North America,1.0,I
1,0,IRB201600163 NCT02710162,1.0,United States,274908,United States,,Americas; North America,,(N/A)
1,0,NCT03929068 Sinemet-001 TrialTroveID-348375,1.0,United States,348375,United States,1.0,Americas; North America,1.0,I
,1,EudraCT Number: 2007-002379-16 TrialTroveID-109547,1.0,,109547,Italy,3.0,Europe; Western Europe,3.0,Iv
1,0,CC100B NCT03049046 TrialTroveID-295588,1.0,United States,295588,United States,1.0,Americas; North America,2.0,I
1,0,CC100A NCT02050334 TrialTroveID-201835,1.0,United States,201835,United States,1.0,Americas; North America,2.0,I
,0,TrialTroveID-078192,1.0,,78192,United States,,Americas; North America,,Ii
,0,2289/2007 EudraCT Number: 2007-004165-17 TrialTroveID-109374,1.0,,109374,Italy,,Europe; Western Europe,2.0,Ii
