Dataset,Column,Change,Type,Reason
patient_characteristics.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
patient_characteristics.csv,Exclusion Criteria,'na' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
patient_characteristics.csv,Exclusion Criteria,"""1) Patients who have clinically significant complications or medical history other than ALS, and who are judged to be inappropriate for clinical study by the investigator. 2) \nPatients with psychiatric disorders, cognitive impairment, or Parkinson's disease. \n3) Patients undergoing tracheostomy. \n4 ) Patients wearing a non-invasive respiratory support device all day (wearing for 22 hours or more). \n5) Patients with a history of or complication of drug allergy or severe allergic disease (anaphylactic shock, etc.). \n6) Patients who have a malignant tumor or have a medical history within 5 years before obtaining informed consent. \n7) Patients whose AST and ALT levels were 3 times or more higher than the upper limit of normal at the time of screening. \n8) Patients with CK =>2.5 times the upper limit of normal at screening. \n9) Patients with estimated glomerular filtration rate (eGFR) less than 45 mL/min/1.73m2 at screening. \n10) Pregnant women, lactating women, or patients who may be pregnant. \n11) Patients or their partners wish to become pregnant, or patients who cannot agree to practice contraception during the period from the time of obtaining informed consent to 30 days after the last dose of the study drug. 12) Patients who participated in a clinical trial other than \nthe investigator-initiated trial (DA350103) before consent was obtained, and 30 days had not passed since the administration of the test drug in the same clinical trial at the time of consent (half-life of the test drug in the same clinical trial If the number of days multiplied by 5 is longer than 30 days, the number of days 5 times the half-life must have passed), or patients participating or plan to participate in a clinical trial other than the investigator-initiated trial (DA350103) at the time of obtaining consent. \n13) Patients who received cell therapy or gene therapy before obtaining informed consent. \n14) Patients who are judged inappropriate participation in this clinical study by the investigator."" → ""1) Patients who have clinically significant complications or medical history other than ALS, and who are judged to be inappropriate for clinical study by the investigator. 2) Patients with psychiatric disorders, cognitive impairment, or Parkinson's disease. 3) Patients undergoing tracheostomy. 4 ) Patients wearing a non-invasive respiratory support device all day (wearing for 22 hours or more). 5) Patients with a history of or complication of drug allergy or severe allergic disease (anaphylactic shock, etc.). 6) Patients who have a malignant tumor or have a medical history within 5 years before obtaining informed consent. 7) Patients whose AST and ALT levels were 3 times or more higher than the upper limit of normal at the time of screening. 8) Patients with CK =>2.5 times the upper limit of normal at screening. 9) Patients with estimated glomerular filtration rate (eGFR) less than 45 mL/min/1.73m2 at screening. 10) Pregnant women, lactating women, or patients who may be pregnant. 11) Patients or their partners wish to become pregnant, or patients who cannot agree to practice contraception during the period from the time of obtaining informed consent to 30 days after the last dose of the study drug. 12) Patients who participated in a clinical trial other than the investigator-initiated trial (DA350103) before consent was obtained, and 30 days had not passed since the administration of the test drug in the same clinical trial at the time of consent (half-life of the test drug in the same clinical trial If the number of days multiplied by 5 is longer than 30 days, the number of days 5 times the half-life must have passed), or patients participating or plan to participate in a clinical trial other than the investigator-initiated trial (DA350103) at the time of obtaining consent. 13) Patients who received cell therapy or gene therapy before obtaining informed consent. 14) Patients who are judged inappropriate participation in this clinical study by the investigator.""",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
patient_characteristics.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
patient_characteristics.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
enrollment_and_timeline.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
enrollment_and_timeline.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
enrollment_and_timeline.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
geographic_and_sites.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
geographic_and_sites.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
geographic_and_sites.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
endpoints_and_outcomes.csv,Trial Results,"'September 23, 2020\n\nCt.gov results:\nResults First Posted  : September 23, 2020\nLast Update Posted  : September 23, 2020\n\nRecruitment Details\t\n- \nPre-assignment Details\n-\n\nLimitations and Caveats\n[Not Specified]\n\nhttps://clinicaltrials.gov/ct2/show/results/NCT02460679; November 20, 2018 \n\nAmyotrophic Lateral Sclerosis and Frontotemporal Degeneration, Volume 19, Issue S1, November 2018 \n\nPresented at the 29th International Symposium on ALS/MND, December 9-11, 2018, Glasgow, Scotland \nOnline published date: November 20, 2018 \nAbstract No.: CLT-17 \n\nMatthew B. Klein, Jonathan Katz, Robert Baloh, Kimberly Goslin, Richard Lewis, Dallas Forshew, Peggy Allred, Arlena Cummings, Robert G. Miller \n\nResults from the EPI-589 Safety and Pharmacology Trial in ALS Patients \n\nInterim Results: \nA total of 21 subjects were enrolled in the trial; 17 subjects completed the 90-day treatment period. There were no drug-related serious adverse events or doselimiting toxicities recorded during the trial. The drug demonstrated predictable pharmacology. Of the 17 subjects that completed the treatment period, 6 of 17 demonstrated improvement or no change in ALS-FRS from baseline to the end of month 3; 8 of 17 demonstrated less than 1 point/ month worsening on the ALS-FRS. Analysis of biomarkers and remaining clinical endpoints is ongoing at this time and will be presented at the meeting. \n\nConclusions: \nEPI-589 is a novel small molecule that targets oxidoreductase enzymes critical to regulation of inflammation, oxidative stress and energy metabolism. In this clinical trial, EPI-589 was found to be safe and well-tolerated as well as to have predictable\npharmacology. While additional results are still being analyzed, these safety data along with preclinical data, support the further development of EPI-589 for ALS. \n\n[Page no: 12/19 at PDF] \nhttps://www.tandfonline.com/doi/pdf/10.1080/21678421.2018.1510576' → 'September 23, 2020 Ct.gov results: Results First Posted : September 23, 2020 Last Update Posted : September 23, 2020 Recruitment Details - Pre-assignment Details - Limitations and Caveats [Not Specified] https://clinicaltrials.gov/ct2/show/results/NCT02460679; November 20, 2018 Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration, Volume 19, Issue S1, November 2018 Presented at the 29th International Symposium on ALS/MND, December 9-11, 2018, Glasgow, Scotland Online published date: November 20, 2018 Abstract No.: CLT-17 Matthew B. Klein, Jonathan Katz, Robert Baloh, Kimberly Goslin, Richard Lewis, Dallas Forshew, Peggy Allred, Arlena Cummings, Robert G. Miller Results from the EPI-589 Safety and Pharmacology Trial in ALS Patients Interim Results: A total of 21 subjects were enrolled in the trial; 17 subjects completed the 90-day treatment period. There were no drug-related serious adverse events or doselimiting toxicities recorded during the trial. The drug demonstrated predictable pharmacology. Of the 17 subjects that completed the treatment period, 6 of 17 demonstrated improvement or no change in ALS-FRS from baseline to the end of month 3; 8 of 17 demonstrated less than 1 point/ month worsening on the ALS-FRS. Analysis of biomarkers and remaining clinical endpoints is ongoing at this time and will be presented at the meeting. Conclusions: EPI-589 is a novel small molecule that targets oxidoreductase enzymes critical to regulation of inflammation, oxidative stress and energy metabolism. In this clinical trial, EPI-589 was found to be safe and well-tolerated as well as to have predictable pharmacology. While additional results are still being analyzed, these safety data along with preclinical data, support the further development of EPI-589 for ALS. [Page no: 12/19 at PDF] https://www.tandfonline.com/doi/pdf/10.1080/21678421.2018.1510576'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Secondary/Other Endpoint Details,"'Secondary Outcome(s)\t\nALSFRS-R score change and rate of change Change in %SVC \nfrom the start of the treatment period to the occurrence of an event (all-day non-invasive respiratory support, invasive respiratory support, or death) Laboratory tests \nVital \nsigns \nWeight' → 'Secondary Outcome(s) ALSFRS-R score change and rate of change Change in %SVC from the start of the treatment period to the occurrence of an event (all-day non-invasive respiratory support, invasive respiratory support, or death) Laboratory tests Vital signs Weight'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Primary Endpoint Details,'Primary Outcome(s)\t\nAdverse event' → 'Primary Outcome(s) Adverse event',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Disposition of Patients,'Period Title: Overall Study\nEPI-589\nStarted\t19\nReceived at Least 1 Dose of Study Drug\t19\nCompleted\t14\nNot Completed\t5\nReason Not Completed\t\nInvestigator Decision\t            1\nWithdrawal by Subject\t            4\n\nhttps://clinicaltrials.gov/ct2/show/results/NCT02460679' → 'Period Title: Overall Study EPI-589 Started 19 Received at Least 1 Dose of Study Drug 19 Completed 14 Not Completed 5 Reason Not Completed Investigator Decision 1 Withdrawal by Subject 4 https://clinicaltrials.gov/ct2/show/results/NCT02460679',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Secondary/Other Endpoint,'ALSFRS-R\nSlow Vital Capacity' → 'ALSFRS-R Slow Vital Capacity',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Secondary/Other Endpoint Group,'Efficacy > Patient Assessment Instruments\nEfficacy > Disease Severity' → 'Efficacy > Patient Assessment Instruments Efficacy > Disease Severity',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Outcome Details,"'September 24, 2018\n\nThe study achieved its primary safety and tolerability endpoint without drug-related serious adverse events or dose-limiting toxicities. Drug treatment was also associated with a statistically significant improvement in cerebrospinal fluid (CSF) and plasma-based biomarkers known to be associated with neuroinflammation and ALS disease progression.\n\nhttps://www.prnewswire.com/news-releases/bioelectron-announces-positive-results-from-phase-2a-als-trial-300717511.html' → 'September 24, 2018 The study achieved its primary safety and tolerability endpoint without drug-related serious adverse events or dose-limiting toxicities. Drug treatment was also associated with a statistically significant improvement in cerebrospinal fluid (CSF) and plasma-based biomarkers known to be associated with neuroinflammation and ALS disease progression. https://www.prnewswire.com/news-releases/bioelectron-announces-positive-results-from-phase-2a-als-trial-300717511.html'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
endpoints_and_outcomes.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
biomarkers_and_diagnostics.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
biomarkers_and_diagnostics.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
biomarkers_and_diagnostics.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
master_dataset.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
master_dataset.csv,Therapeutic Area,'CNS' → 'Cns',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Sponsor Type,"'Industry, all other pharma' → 'Industry, All Other Pharma'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Sponsor: Parent HQ Country,' \n ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Sponsor: Parent HQ State,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Sponsor: Parent HQ State,'NJ' → 'Nj',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Sponsor: Parent HQ City,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Sponsor: Parent HQ Postal Code,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Primary.Tested.Drug.Mechanism.Of.Action,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Primary Tested Drug: Target,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Primary Tested Drug: Therapeutic Class,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Other Tested Drug: Mechanism Of Action,'Not applicable' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Other Tested Drug: Target,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Trial Objective,'To examine the safety and tolerability of re-administering EPI-589 to patients with amyotrophic lateral sclerosis (ALS) who have previously received EPI-589.' → 'To Examine The Safety And Tolerability Of Re-Administering Epi-589 To Patients With Amyotrophic Lateral Sclerosis (Als) Who Have Previously Received Epi-589.',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Primary Endpoint Details,'Primary Outcome(s)\t\nAdverse event' → 'Primary Outcome(s) Adverse event',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Secondary/Other Endpoint,'ALSFRS-R\nSlow Vital Capacity' → 'ALSFRS-R Slow Vital Capacity',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Secondary/Other Endpoint Group,'Efficacy > Patient Assessment Instruments\nEfficacy > Disease Severity' → 'Efficacy > Patient Assessment Instruments Efficacy > Disease Severity',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Secondary/Other Endpoint Details,"'Secondary Outcome(s)\t\nALSFRS-R score change and rate of change Change in %SVC \nfrom the start of the treatment period to the occurrence of an event (all-day non-invasive respiratory support, invasive respiratory support, or death) Laboratory tests \nVital \nsigns \nWeight' → 'Secondary Outcome(s) ALSFRS-R score change and rate of change Change in %SVC from the start of the treatment period to the occurrence of an event (all-day non-invasive respiratory support, invasive respiratory support, or death) Laboratory tests Vital signs Weight'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Inclusion Criteria,"'1) Patients who have given written informed consent to participate in this clinical study (or patients for whom a signature was obtained by a proxy, in case patients who have the ability to consent but are unable to sign the consent form in their own handwriting due 2) Patients who have entered the investigator-initiated clinical trial (DA350103) and \nhave received EPI-589 for about 24 weeks, and have had no concerns with safety or tolerability. 3) Patients who can go to outpatient clinic' → '1) Patients who have given written informed consent to participate in this clinical study (or patients for whom a signature was obtained by a proxy, in case patients who have the ability to consent but are unable to sign the consent form in their own handwriting due 2) Patients who have entered the investigator-initiated clinical trial (DA350103) and have received EPI-589 for about 24 weeks, and have had no concerns with safety or tolerability. 3) Patients who can go to outpatient clinic'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Exclusion Criteria,'na' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
master_dataset.csv,Exclusion Criteria,"""1) Patients who have clinically significant complications or medical history other than ALS, and who are judged to be inappropriate for clinical study by the investigator. 2) \nPatients with psychiatric disorders, cognitive impairment, or Parkinson's disease. \n3) Patients undergoing tracheostomy. \n4 ) Patients wearing a non-invasive respiratory support device all day (wearing for 22 hours or more). \n5) Patients with a history of or complication of drug allergy or severe allergic disease (anaphylactic shock, etc.). \n6) Patients who have a malignant tumor or have a medical history within 5 years before obtaining informed consent. \n7) Patients whose AST and ALT levels were 3 times or more higher than the upper limit of normal at the time of screening. \n8) Patients with CK =>2.5 times the upper limit of normal at screening. \n9) Patients with estimated glomerular filtration rate (eGFR) less than 45 mL/min/1.73m2 at screening. \n10) Pregnant women, lactating women, or patients who may be pregnant. \n11) Patients or their partners wish to become pregnant, or patients who cannot agree to practice contraception during the period from the time of obtaining informed consent to 30 days after the last dose of the study drug. 12) Patients who participated in a clinical trial other than \nthe investigator-initiated trial (DA350103) before consent was obtained, and 30 days had not passed since the administration of the test drug in the same clinical trial at the time of consent (half-life of the test drug in the same clinical trial If the number of days multiplied by 5 is longer than 30 days, the number of days 5 times the half-life must have passed), or patients participating or plan to participate in a clinical trial other than the investigator-initiated trial (DA350103) at the time of obtaining consent. \n13) Patients who received cell therapy or gene therapy before obtaining informed consent. \n14) Patients who are judged inappropriate participation in this clinical study by the investigator."" → ""1) Patients who have clinically significant complications or medical history other than ALS, and who are judged to be inappropriate for clinical study by the investigator. 2) Patients with psychiatric disorders, cognitive impairment, or Parkinson's disease. 3) Patients undergoing tracheostomy. 4 ) Patients wearing a non-invasive respiratory support device all day (wearing for 22 hours or more). 5) Patients with a history of or complication of drug allergy or severe allergic disease (anaphylactic shock, etc.). 6) Patients who have a malignant tumor or have a medical history within 5 years before obtaining informed consent. 7) Patients whose AST and ALT levels were 3 times or more higher than the upper limit of normal at the time of screening. 8) Patients with CK =>2.5 times the upper limit of normal at screening. 9) Patients with estimated glomerular filtration rate (eGFR) less than 45 mL/min/1.73m2 at screening. 10) Pregnant women, lactating women, or patients who may be pregnant. 11) Patients or their partners wish to become pregnant, or patients who cannot agree to practice contraception during the period from the time of obtaining informed consent to 30 days after the last dose of the study drug. 12) Patients who participated in a clinical trial other than the investigator-initiated trial (DA350103) before consent was obtained, and 30 days had not passed since the administration of the test drug in the same clinical trial at the time of consent (half-life of the test drug in the same clinical trial If the number of days multiplied by 5 is longer than 30 days, the number of days 5 times the half-life must have passed), or patients participating or plan to participate in a clinical trial other than the investigator-initiated trial (DA350103) at the time of obtaining consent. 13) Patients who received cell therapy or gene therapy before obtaining informed consent. 14) Patients who are judged inappropriate participation in this clinical study by the investigator.""",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Disposition of Patients,'Period Title: Overall Study\nEPI-589\nStarted\t19\nReceived at Least 1 Dose of Study Drug\t19\nCompleted\t14\nNot Completed\t5\nReason Not Completed\t\nInvestigator Decision\t            1\nWithdrawal by Subject\t            4\n\nhttps://clinicaltrials.gov/ct2/show/results/NCT02460679' → 'Period Title: Overall Study EPI-589 Started 19 Received at Least 1 Dose of Study Drug 19 Completed 14 Not Completed 5 Reason Not Completed Investigator Decision 1 Withdrawal by Subject 4 https://clinicaltrials.gov/ct2/show/results/NCT02460679',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Study Design,"'An Interventional, single arm, open label, safety and tolerability study' → 'An Interventional, Single Arm, Open Label, Safety And Tolerability Study'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Study Design,'This Is A Phase Iii Study.' → 'This Is A Phase I/Ii Study',Category standardization,Unified similar categorical values
master_dataset.csv,Trial Results,"'September 23, 2020\n\nCt.gov results:\nResults First Posted  : September 23, 2020\nLast Update Posted  : September 23, 2020\n\nRecruitment Details\t\n- \nPre-assignment Details\n-\n\nLimitations and Caveats\n[Not Specified]\n\nhttps://clinicaltrials.gov/ct2/show/results/NCT02460679; November 20, 2018 \n\nAmyotrophic Lateral Sclerosis and Frontotemporal Degeneration, Volume 19, Issue S1, November 2018 \n\nPresented at the 29th International Symposium on ALS/MND, December 9-11, 2018, Glasgow, Scotland \nOnline published date: November 20, 2018 \nAbstract No.: CLT-17 \n\nMatthew B. Klein, Jonathan Katz, Robert Baloh, Kimberly Goslin, Richard Lewis, Dallas Forshew, Peggy Allred, Arlena Cummings, Robert G. Miller \n\nResults from the EPI-589 Safety and Pharmacology Trial in ALS Patients \n\nInterim Results: \nA total of 21 subjects were enrolled in the trial; 17 subjects completed the 90-day treatment period. There were no drug-related serious adverse events or doselimiting toxicities recorded during the trial. The drug demonstrated predictable pharmacology. Of the 17 subjects that completed the treatment period, 6 of 17 demonstrated improvement or no change in ALS-FRS from baseline to the end of month 3; 8 of 17 demonstrated less than 1 point/ month worsening on the ALS-FRS. Analysis of biomarkers and remaining clinical endpoints is ongoing at this time and will be presented at the meeting. \n\nConclusions: \nEPI-589 is a novel small molecule that targets oxidoreductase enzymes critical to regulation of inflammation, oxidative stress and energy metabolism. In this clinical trial, EPI-589 was found to be safe and well-tolerated as well as to have predictable\npharmacology. While additional results are still being analyzed, these safety data along with preclinical data, support the further development of EPI-589 for ALS. \n\n[Page no: 12/19 at PDF] \nhttps://www.tandfonline.com/doi/pdf/10.1080/21678421.2018.1510576' → 'September 23, 2020 Ct.gov results: Results First Posted : September 23, 2020 Last Update Posted : September 23, 2020 Recruitment Details - Pre-assignment Details - Limitations and Caveats [Not Specified] https://clinicaltrials.gov/ct2/show/results/NCT02460679; November 20, 2018 Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration, Volume 19, Issue S1, November 2018 Presented at the 29th International Symposium on ALS/MND, December 9-11, 2018, Glasgow, Scotland Online published date: November 20, 2018 Abstract No.: CLT-17 Matthew B. Klein, Jonathan Katz, Robert Baloh, Kimberly Goslin, Richard Lewis, Dallas Forshew, Peggy Allred, Arlena Cummings, Robert G. Miller Results from the EPI-589 Safety and Pharmacology Trial in ALS Patients Interim Results: A total of 21 subjects were enrolled in the trial; 17 subjects completed the 90-day treatment period. There were no drug-related serious adverse events or doselimiting toxicities recorded during the trial. The drug demonstrated predictable pharmacology. Of the 17 subjects that completed the treatment period, 6 of 17 demonstrated improvement or no change in ALS-FRS from baseline to the end of month 3; 8 of 17 demonstrated less than 1 point/ month worsening on the ALS-FRS. Analysis of biomarkers and remaining clinical endpoints is ongoing at this time and will be presented at the meeting. Conclusions: EPI-589 is a novel small molecule that targets oxidoreductase enzymes critical to regulation of inflammation, oxidative stress and energy metabolism. In this clinical trial, EPI-589 was found to be safe and well-tolerated as well as to have predictable pharmacology. While additional results are still being analyzed, these safety data along with preclinical data, support the further development of EPI-589 for ALS. [Page no: 12/19 at PDF] https://www.tandfonline.com/doi/pdf/10.1080/21678421.2018.1510576'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
master_dataset.csv,Trial Notes,"'Japan Registry of Clinical Trials\n\nJRCT Number: jRCTs051230064\n\nScheduled date of case registration: August 9, 2023\nFirst case registration date: August 9, 2023\nImplementation period (start date): \nImplementation period (end date): December 31, 2024\n\nProgress / Recruitment Status: Recruitment closed\n\nSource of Monetary Support / Secondary Sponsor:\n\nhttps://jrct.niph.go.jp/latest-detail/jRCTs051230064' → 'Japan Registry of Clinical Trials JRCT Number: jRCTs051230064 Scheduled date of case registration: August 9, 2023 First case registration date: August 9, 2023 Implementation period (start date): Implementation period (end date): December 31, 2024 Progress / Recruitment Status: Recruitment closed Source of Monetary Support / Secondary Sponsor: https://jrct.niph.go.jp/latest-detail/jRCTs051230064'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
