reached_phase_3_plus,Actual Accrual (% of Target),Enrollment Close Date,Start Date,Actual Accrual (No. of patients),Primary Endpoints Reported Date,Target Accrual,Treatment Duration (Mos.),Treatment Duration Type,Enrollment Duration Type,Trial.ID,Pts/Site/Mo,Primary Completion Date Type,Enrollment Close Date Type,Primary Endpoints Reported Date Type,Pts/Site/Mo Type,Start Date Type,Trial Phase,Primary Completion Date,Enrollment Duration (Mos.),Protocol/Trial ID,Last Full Review,Last Modified Date
0,,2/9/10,3/1/07,82.0,4/25/12,,11.0,Actual,Actual,166423,0.14,Actual,Actual,Actual,Actual,Actual,Ii,1/9/11,35.4,TrialTroveID-166423,2/22/13,2/22/22
0,,,,,,,,,,147362,,,,,,,I,,,TrialTroveID-147362,10/10/13,11/17/20
0,102.0,2/10/10,3/1/07,82.0,11/6/12,80.0,12.0,Actual,Actual,109501,0.14,Actual,Actual,Actual,Actual,Actual,Ii,2/10/11,35.38,3303 EudraCT Number: 2004-004158-23 FARM5LRKR9 TrialTroveID-109501,9/9/11,2/18/19
0,,,3/1/22,,,,,,,415000,,,,,,Anticipated,Iii,,,TrialTroveID-415000,5/29/23,5/29/23
0,67.0,7/5/18,3/30/18,8.0,5/28/20,12.0,0.49,Actual,Actual,322747,2.51,Actual,Actual,Actual,Actual,Actual,I,7/20/18,3.19,NCT03500627 OP-101-002 TrialTroveID-322747,9/18/18,10/13/22
1,113.0,12/8/22,6/30/22,60.0,6/29/23,53.0,6.11,Actual,Actual,421082,0.71,Actual,Actual,Actual,Actual,Actual,Iii,6/12/23,5.29,BASEC2022-00638 EudraCT Number: 2021-005356-10 IB1001-301 NCT05163288 NL79787.018.21 SNCTP000005101 TrialTroveID-421082,7/4/23,4/25/24
0,87.0,2/5/20,9/4/19,34.0,9/30/20,39.0,1.5,Actual,Actual,337946,0.75,Actual,Actual,Actual,Actual,Actual,Ii,3/22/20,5.06,EudraCT Number: 2018-004331-71 IB1001-201 NCT03759639 TrialTroveID-337946,5/22/23,3/30/24
0,52.0,6/2/23,10/1/18,29.0,,56.0,0.01,Actual,Actual,363683,0.26,Actual,Actual,,Actual,Actual,Ii,6/2/23,56.05,AIH in ALS NCT03645031 OCR18018 TrialTroveID-363683,6/12/23,6/12/23
0,,,3/1/15,,,100.0,,,,255731,,Anticipated,,,,Actual,Ii,12/31/18,,02-(AdeVask)-2014 TrialTroveID-255731,12/26/19,12/26/19
0,,8/1/20,10/13/15,,,30.0,3.0,Anticipated,Anticipated,310121,0.52,Anticipated,Anticipated,,Anticipated,Actual,I,10/31/20,57.63,ADIPOSTEM DPO/014/33/09/2015 NCT03296501 TrialTroveID-310121,4/16/20,2/22/22
0,100.0,,9/30/08,1.0,,1.0,,,,98220,,,,,,Actual,I,,,TrialTroveID-098220,10/1/08,1/3/24
0,100.0,,9/28/05,18.0,3/27/07,18.0,,,,78903,,Actual,,Actual,,Actual,I,10/1/06,,Study 102 TrialTroveID-078903,11/28/07,5/28/12
0,,,10/1/04,25.0,9/7/05,,,,,78887,,,,Actual,,Actual,I,,,Study 101 TrialTroveID-078887,11/28/07,5/28/12
1,,,3/1/22,,,231.0,,,,403861,,,,,,Anticipated,Iii,,,TrialTroveID-403861,7/25/23,7/25/23
0,,,,21.0,3/21/13,,12.0,Actual,,109688,,,,Actual,,,Ii,,,TrialTroveID-109688,3/22/13,2/15/22
0,,,,,,,,,,483042,,,,,,,I,,,TrialTroveID-483042,8/27/23,8/28/23
0,100.0,12/8/15,9/1/15,36.0,3/3/17,36.0,0.26,Actual,Actual,202570,11.18,Actual,Actual,Actual,Actual,Actual,Ii,12/16/15,3.22,EudraCT number: 2014-001327-71 IMODALS LOCAL/2014/WC-01 NCT02059759 TrialTroveID-202570,3/21/17,2/9/23
0,,10/29/25,5/6/24,,,10.0,6.0,Anticipated,Anticipated,515031,0.56,Anticipated,Anticipated,,Anticipated,Anticipated,I,4/30/26,17.78,NCT06395038 PRO00037661 TrialTroveID-515031,,5/2/24
0,,10/18/22,10/28/21,5.0,,,24.0,Anticipated,Anticipated,507665,0.43,Anticipated,Anticipated,,Anticipated,Actual,I,10/17/24,11.67,NCT06307301 PRO00031998 TrialTroveID-507665,3/13/24,4/28/24
0,,,,3.0,3/3/17,,,,,297957,,,,Actual,,,I,,,TrialTroveID-297957,3/23/17,1/24/18
0,75.0,2/28/20,8/7/19,9.0,8/29/22,12.0,15.06,Actual,Actual,355351,0.67,Actual,Actual,Actual,Actual,Actual,Ii,5/31/21,6.74,NCT04055623 Pro00022167 Tregs in ALS TrialTroveID-355351,9/8/22,3/2/23
0,75.0,,1/1/16,3.0,5/18/18,4.0,,,,306643,,Actual,,Actual,,Actual,I,2/28/18,,NCT03241784 TrialTroveID-306643,8/10/17,12/19/23
0,141.0,10/22/19,6/19/17,304.0,12/8/22,216.0,21.0,Actual,Actual,294523,0.64,Actual,Actual,Actual,Actual,Actual,Ii,7/22/21,28.09,EudraCT Number: 2015-005347-14 H2020/PHRC-N/2014/GB-01 MIROCALS NCT03039673 TrialTroveID-294523,2/4/22,1/22/24
1,,,,,,,,,,415777,,,,,,,Ii/Iii,,,TrialTroveID-415777,10/24/23,10/24/23
0,,7/2/24,12/15/23,,,24.0,3.94,Anticipated,Anticipated,497466,3.65,Anticipated,Anticipated,,Anticipated,Anticipated,I,10/30/24,6.57,KY2023-252-01 NCT06181526 SPECIALS TrialTroveID-497466,1/5/24,1/9/24
1,,,12/31/17,,,,,,,294333,,,,,,Anticipated,Iii,,,TrialTroveID-294333,1/5/22,1/5/22
0,100.0,,,1.0,1/8/15,1.0,,,,250098,,,,Actual,,,I,,,GALS-C TrialTroveID-250098,1/9/15,1/12/15
0,100.0,1/1/14,5/29/13,12.0,4/28/14,12.0,3.0,Actual,Actual,186232,0.84,Actual,Actual,Actual,Actual,Actual,Ii,4/2/14,7.13,GALS GALS 001 NCT01854294 TrialTroveID-186232,4/29/14,2/2/22
0,238.0,6/1/15,12/1/13,19.0,12/29/21,8.0,20.99,Actual,Actual,261007,1.06,Actual,Actual,Actual,Actual,Actual,I,3/1/17,17.97,IRCT20080728001031N26 NCT02492516 Royan-Nerve-008 TrialTroveID-261007,5/2/17,2/22/22
0,,9/1/21,8/13/21,,,20.0,48.0,Anticipated,Anticipated,411366,32.26,Anticipated,Anticipated,,Anticipated,Actual,I,9/1/25,0.62,NCT05003921 SC-7-ATG-7-01 TrialTroveID-411366,10/14/22,10/14/22
0,143.0,9/30/16,11/1/15,43.0,2/1/19,30.0,18.0,Actual,Anticipated,285498,3.92,Anticipated,Anticipated,Actual,Anticipated,Actual,I,4/1/18,10.97,NCT02881476 TrialTroveID-285498 UWM/ALS-MSC.2015/001 UwmWjmscAls,11/26/19,2/22/22
0,,,3/1/12,,,30.0,24.0,Actual,,158813,,Anticipated,,,,Actual,Ii,1/1/13,,20111207ALS NCT01494480 TrialTroveID-158813,10/4/19,2/18/22
0,100.0,12/31/15,8/1/14,10.0,,10.0,6.0,Actual,Actual,216528,0.59,Actual,Actual,,Actual,Actual,Ii,7/1/16,16.99,NCT02236065 TrialTroveID-216528 UCBnG-CSF,2/27/24,2/27/24
0,,,6/28/24,,,42.0,,,,511787,,Anticipated,,,,Anticipated,I,4/28/29,,2023-510344-20-00 ALN-SOD-ALS-2351 NCT06351592 TrialTroveID-511787,4/10/24,4/12/24
0,,,12/1/16,30.0,,,,,,454913,,Actual,,,,Actual,Other,3/1/18,,2 ALSParadigm NCT03073239,,7/23/18
1,,,,,,,,,,78982,,,,,,,Iii,,,TrialTroveID-078982,7/9/10,2/15/22
0,100.0,,5/14/07,6.0,8/11/10,6.0,1.75,Actual,,78979,,,,Actual,,Actual,I,,,TrialTroveID-078979,7/9/10,11/15/12
1,,,,104.0,11/9/04,,6.0,Actual,,78978,,,,Actual,,,Iii,,,NEALS TrialTroveID-078978,11/5/07,4/13/23
0,,,,21.0,,,,,,78975,,,,,,,Ii,,,TrialTroveID-078975,11/5/07,2/18/22
1,69.0,7/1/04,6/1/03,107.0,5/9/06,156.0,9.0,Actual,Actual,78693,1.03,Actual,Actual,Actual,Actual,Actual,Iii,4/1/05,13.0,AGI-ALS-III-01 NCT00069186 Orphan Drug:01-1527 TrialTroveID-078693,10/19/10,2/7/22
0,,,,,,,,,,122392,,,,,,,Ii,,,TrialTroveID-122392,10/30/10,8/15/17
1,,,,,,,,,,80471,,,,,,,Iii,,,TrialTroveID-080471,7/9/10,7/9/10
0,,,1/1/07,,,,,,,78980,,,,,,Actual,Ii,,,TrialTroveID-078980,7/9/10,4/29/16
0,72.0,10/18/06,7/6/06,86.0,12/3/07,120.0,6.0,Actual,Actual,78743,1.29,Actual,Actual,Actual,Actual,Actual,Ii,4/18/07,3.5,6302 AAAB6334 ALSA ID#920 IRB00002357 NCT00355576 TrialTroveID-078743,1/30/10,2/15/22
0,85.0,1/31/21,5/18/20,46.0,,54.0,1.97,Actual,Actual,405701,5.42,Actual,Actual,,Actual,Actual,I,4/1/21,8.48,ACTRN12619001639112 PMX-205-001 TrialTroveID-405701 U1111-1243-2230,6/4/21,10/23/23
1,,,9/1/05,,,,,,,234390,,Actual,,,,Actual,Iv,7/26/07,,04033101 NCT00127114,,8/10/17
0,,12/1/23,7/25/23,,,50.0,6.0,Anticipated,Anticipated,478911,2.36,Anticipated,Anticipated,,Anticipated,Actual,Ii,6/1/24,4.24,AMBALS FLO-AMB-01 NCT05959850 TrialTroveID-478911,7/30/23,11/20/23
0,,,8/24/22,,,36.0,,,,442442,,Anticipated,,,,Actual,Iii,9/1/23,,AMDX-2011P NCT05542576 PROBE,,2/2/23
0,,,,25.0,1/25/06,,,,,78769,,,,Actual,,,Ii,,,TrialTroveID-078769,11/28/07,2/15/22
0,100.0,,,5.0,2/26/14,5.0,12.0,Actual,,313628,,,,Actual,,,Ii,,,AOBS-NEU-RPF-2011 EudraCT Number: 2011-004571-37 ReProIn-FTD TrialTroveID-313628,12/1/17,5/4/21
1,,,,10.0,12/8/05,,,,,80217,,,,Actual,,,Iii,,,TrialTroveID-080217,12/10/07,10/21/10
0,,12/20/17,4/24/17,,,30.0,10.0,Anticipated,Anticipated,298816,3.8,Anticipated,Anticipated,,Anticipated,Actual,Ii,10/20/18,7.89,NCT03103815 TrialTroveID-298816 WJ2017001,8/25/20,2/22/22
0,,,2/1/24,,,42.0,,,,489925,,Anticipated,,,,Anticipated,Iii,6/30/26,,AMT-162-001 NCT06100276 TrialTroveID-489925,10/26/23,2/11/24
0,,,12/1/24,,,,,,,493738,,,,,,Anticipated,I,,,TrialTroveID-493738,4/17/24,4/17/24
0,100.0,6/1/11,2/1/11,20.0,12/7/13,20.0,12.03,Actual,Actual,140927,5.08,Actual,Actual,Actual,Actual,Actual,Ii,6/1/12,3.94,ANA-ALS01 EudraCT Number: 2010-019218-26 NCT01277315 TrialTroveID-140927,12/4/13,2/20/24
0,,12/4/20,12/19/19,,,24.0,0.92,Anticipated,Anticipated,363866,2.08,Anticipated,Anticipated,,Anticipated,Actual,I,1/1/21,11.53,NCT04204889 TOALS TrialTroveID-363866,4/21/22,4/21/22
0,,,,276.0,3/10/10,,12.0,Actual,,14876,,,,Actual,,,Ii,,,TrialTroveID-014876,3/16/10,7/22/20
0,,,,6.0,10/3/21,,,,,418152,,,,Actual,,,Ii,,,TrialTroveID-418152,11/15/21,5/9/23
0,,,3/23/17,,,6.0,,,,312311,,,,,,Actual,I,,,jRCTb050190128 PB5160011 TrialTroveID-312311 UMIN000024132,12/18/19,2/2/22
0,,,,27.0,10/16/16,,,,,294141,,,,Actual,,,I,,,TrialTroveID-294141,1/13/17,12/13/23
0,130.0,9/1/21,7/1/14,52.0,,40.0,6.0,Actual,Actual,191427,0.15,Actual,Actual,,Actual,Actual,Iii,3/2/22,86.05,CeTMad/ELA/2011 EudraCT Number: 2011-006254-85 NCT02290886 REec-2013-0095 TrialTroveID-191427,6/18/22,7/14/22
0,,7/2/23,1/15/21,,12/1/23,25.0,2.99,Anticipated,Anticipated,385677,0.08,Anticipated,Anticipated,Anticipated,Anticipated,Actual,Ii,10/1/23,29.52,ANX005-ALS-01 ANX005-IF-01 CCR-20-127 EudraCT Number: 2021-000325-26 NCT04569435 TrialTroveID-385677,9/6/23,1/21/24
0,42.0,4/19/18,12/1/16,27.0,,64.0,1.41,Actual,Actual,293551,1.63,Actual,Actual,,Actual,Actual,I,6/1/18,16.56,ANX005-CP01 NCT02937753 NCT03010046 TrialTroveID-293551,8/30/18,10/26/22
0,,7/7/23,9/2/21,,,63.0,11.75,Anticipated,Anticipated,413450,0.22,Anticipated,Anticipated,,Anticipated,Actual,Ii,6/28/24,22.12,250403 AP-101-02 AP101-02 EudraCT Number: 2020-005971-11 NCT05039099 TrialTroveID-413450,4/17/24,4/29/24
0,,8/10/20,10/10/19,,,18.0,2.76,Anticipated,Anticipated,351306,0.6,Anticipated,Anticipated,,Anticipated,Actual,I,11/2/20,10.02,AP101-01 NCT03981536 TrialTroveID-351306,3/25/24,3/25/24
1,,,,1.0,,,,,,438542,,,,,,,Iv,,,LAM-002A-FTD-EAP NCT05483322 TrialTroveID-438542,8/5/22,8/7/22
0,125.0,6/12/22,12/27/21,15.0,,12.0,7.0,Actual,Actual,421066,0.91,Actual,Actual,,Actual,Actual,Ii,1/11/23,5.49,LAM-002A-ALS-CLN01 NCT05163886 TrialTroveID-421066,4/10/23,9/25/23
0,,,,,,,,,,400873,,,,,,,I,,,TrialTroveID-400873,6/24/23,6/24/23
0,,,,,,,,,,370535,,,,,,,Other,,,NCT04316637 OR-ARI-EAP-NPC TrialTroveID-370535,5/10/23,12/4/23
1,106.0,6/19/19,7/31/18,245.0,5/7/21,231.0,18.0,Actual,Actual,317692,0.8,Actual,Actual,Actual,Actual,Actual,Iii,12/18/20,10.61,20180389 EudraCT Number: 2018-000137-13 NCT03491462 NL65582.041.18 ORARIALS-01 SNCTP000003805 TrialTroveID-317692,5/12/21,3/13/24
0,,,,,,,,,,80120,,,,,,,Ii,,,TrialTroveID-080120,6/8/11,6/8/11
0,180.0,6/1/06,2/13/06,72.0,6/27/07,40.0,8.0,Actual,Actual,78851,,Actual,Actual,Actual,,Actual,Ii,2/1/07,3.6,AALS-001-Extension AALS-001-OL TrialTroveID-078851,2/5/10,11/23/10
0,105.0,4/4/06,9/22/05,84.0,9/26/06,80.0,3.0,Actual,Actual,78846,1.31,Actual,Actual,Actual,Actual,Actual,Ii,7/4/06,6.4,AALS-001 NCT00244244 TrialTroveID-078846,3/4/09,4/13/23
1,52.0,1/12/21,9/19/19,120.0,,231.0,5.62,Actual,Actual,342818,0.33,Actual,Actual,,Actual,Actual,Iii,7/2/21,15.8,EudraCT Number: 2019-000374-39 NCT03836716 NL69675.041.19 ORARIALS-02 SNCTP000003764 TrialTroveID-342818,8/25/23,4/27/24
1,48.0,6/1/14,2/23/09,38.0,12/9/16,80.0,6.01,Actual,Actual,93162,0.3,Actual,Actual,Actual,Actual,Actual,Ii/Iii,12/1/14,63.21,20100758 20101021 Arimoclomol in SOD1 fALS NCT00706147 TrialTroveID-093162,8/17/17,2/7/22
0,100.0,,2/26/07,40.0,6/25/07,40.0,1.25,Actual,,80193,,,,Actual,,Actual,I,,,TrialTroveID-080193,12/4/07,2/23/22
0,,,,16.0,11/26/07,,,,,80092,,,,Actual,,,I,,,TrialTroveID-080092,11/27/07,2/23/22
0,,8/1/09,12/1/07,,,390.0,10.0,Actual,Anticipated,79897,0.56,Anticipated,Anticipated,,Anticipated,Actual,Ii,6/1/10,20.0,AALS-003 NCT00561366 TrialTroveID-079897,1/20/10,2/7/22
0,0.0,9/14/24,1/1/24,0.0,,32.0,5.52,Anticipated,Anticipated,478079,,Anticipated,Anticipated,,,Anticipated,I,3/1/25,8.45,AROSOD1-1001 EudraCT Number: 2023-509032-26 NCT05949294 TrialTroveID-478079,4/18/24,4/18/24
0,,,12/1/22,,,,,,,499424,,,,,,Anticipated,Iii,,,TrialTroveID-499424,1/11/24,2/8/24
0,,,12/1/23,,,,,,,459727,,,,,,Anticipated,Ii,,,TrialTroveID-459727,12/4/23,12/4/23
0,76.0,7/24/19,4/12/18,16.0,10/3/21,21.0,11.0,Actual,Actual,263255,1.04,Actual,Actual,Actual,Actual,Actual,Iii,6/22/20,15.38,ASTRO-001-IL NCT03482050 TrialTroveID-263255,1/19/21,2/6/24
0,,,6/1/24,,,,,,,490059,,,,,,Anticipated,I,,,TrialTroveID-490059,11/21/23,2/13/24
0,,4/1/21,1/1/21,,,480.0,6.0,Anticipated,Anticipated,374610,162.16,Anticipated,Anticipated,,Anticipated,Anticipated,Ii,9/30/21,2.96,ALS04 NCT04390386 TrialTroveID-374610,6/19/20,11/21/23
0,,,,,,6.0,,,,369817,,,,,,,I,,,ALS-03 NCT04309604 TrialTroveID-369817,3/18/20,2/21/23
0,,2/13/21,8/15/19,,,50.0,3.0,Anticipated,Anticipated,323146,2.78,Anticipated,Anticipated,,Anticipated,Anticipated,Ii,5/15/21,18.0,ALS03 NCT03508453 TrialTroveID-323146,5/18/20,3/18/22
0,,3/18/18,10/1/17,10.0,11/8/19,,1.02,Actual,Actual,321826,1.81,Actual,Actual,Actual,Actual,Actual,I,4/18/18,5.52,ALS01 NCT03487263 TrialTroveID-321826,5/11/18,2/18/22
0,,3/12/20,9/1/18,,,20.0,1.0,Actual,Anticipated,320908,1.09,Anticipated,Anticipated,,Anticipated,Anticipated,Ii,4/12/20,18.33,ALS02 NCT03474263 TrialTroveID-320908,3/15/19,6/25/20
0,,,1/1/06,,,50.0,12.0,Actual,,79879,,,,,,Actual,Ii,,,TrialTroveID-079879,4/13/12,2/18/22
0,,4/1/23,11/1/20,,,30.0,6.0,Anticipated,Anticipated,374769,1.04,Anticipated,Anticipated,,Anticipated,Anticipated,Ii,9/30/23,28.95,lj11128 NCT04391361 TrialTroveID-374769,10/14/20,5/19/23
0,100.0,10/21/20,8/12/20,1.0,,1.0,12.0,Anticipated,Actual,382158,0.43,Anticipated,Actual,,Actual,Actual,I,10/21/21,2.3,HBALS01 NCT04514952 TrialTroveID-382158,1/28/22,9/29/22
0,,,5/1/21,,,100.0,48.0,Anticipated,,361959,,,,,,Anticipated,Ii,,,EudraCT Number: 2019-002302-46 IMIB-TCIM/ELAII-2019-01 NCT04849065 TCIM-ELAII TrialTroveID-361959,11/11/21,7/11/23
0,87.0,,1/1/12,26.0,9/15/16,30.0,12.0,Actual,,165435,,Anticipated,,Actual,,Actual,Iii,12/1/16,,AMSC in ALS AMSC-ALS-001 EudraCT number: 2011-000362-35 NCT03828123 TrialTroveID-165435,4/21/17,2/22/22
0,125.0,6/1/23,10/10/17,75.0,,60.0,20.09,Anticipated,Actual,308228,0.37,Anticipated,Actual,,Actual,Actual,Ii,2/1/25,67.72,15-008008 NCT03268603 TrialTroveID-308228,9/24/23,4/2/24
1,98.0,10/11/19,8/28/17,196.0,11/17/20,200.0,11.64,Actual,Actual,293113,1.28,Actual,Actual,Actual,Actual,Actual,Iii,9/29/20,25.43,BCT-002-US CIRM CLIN2-0989 NCT03280056 TrialTroveID-293113,12/1/20,5/2/24
0,,,,,,24.0,,,,271339,,,,,,,Ii,,,TrialTroveID-271339,5/14/19,5/14/19
0,100.0,6/10/13,12/1/12,14.0,1/5/15,14.0,9.0,Actual,Actual,181174,2.23,Actual,Actual,Actual,Actual,Actual,Ii,3/10/14,6.28,MSC-NTF-002-HMO-CTIL NCT01777646 TrialTroveID-181174,4/1/15,2/18/22
0,100.0,8/12/15,6/6/14,48.0,7/18/16,48.0,6.0,Actual,Actual,122551,1.13,Actual,Actual,Actual,Actual,Actual,Ii,2/10/16,14.19,BCT-001-US NCT02017912 TrialTroveID-122551,7/21/16,3/11/20
0,50.0,6/1/12,6/6/11,12.0,7/23/12,24.0,6.0,Actual,Anticipated,121611,1.01,Anticipated,Anticipated,Actual,Anticipated,Actual,Iii,12/1/12,11.9,MSC-NTF 28/12/09 MSC-NTF-001-HMO-CTIL NCT01051882 TrialTroveID-121611,2/6/13,2/8/22
0,100.0,11/30/12,12/1/11,18.0,11/8/16,18.0,36.0,Actual,Actual,171191,1.5,Actual,Actual,Actual,Actual,Actual,I,12/1/15,11.99,EudraCT Number: 2009-014484-39 hNSCALS NCT01640067 TrialTroveID-171191,12/31/15,2/15/22
