Primary.Endpoint,reached_phase_3_plus,Trial Results,Secondary/Other Endpoint Details,Protocol/Trial ID,Primary Endpoint Details,Disposition of Patients,Secondary/Other Endpoint,Trial.ID,Primary Endpoint Group,Secondary/Other Endpoint Group,Outcome Details,Trial Phase,Trial Outcomes,endpoint_efficacy,endpoint_safety,endpoint_functional,endpoint_biomarker,endpoint_survival,endpoint_pharmacokinetic,endpoint_total_categories,endpoint_primary_category,outcome_positive,outcome_negative,outcome_terminated,outcome_completed
Magnetic Resonance Imaging,0,,"[18F]RoSMA-18-d6 uptake at month twelve (360 days) compared with uptake at baseline as assessed by PET/CT of the brain and spinal cord. [Time Frame: Baseline and day 360] Correlation of [18F]RoSMA-18-d6 uptake with corresponding ALSFRS-Score from baseline to day 360. [Time Frame: Baseline and day 360] Correlation of [18F]RoSMA-18-d6 uptake with corresponding respiratory function measurements (FVC, SNIP) from baseline to day 360. [Time Frame: Baseline and day 360] Correlation of the change of [18F]RoSMA-18-d6 endpoints (Δ-CB2R; baseline to day 360) with corresponding changes of the-ECAS score [Time Frame: Baseline and day 360]",18F-RoSMALS NCT05880563,"Difference of [18F]RoSMA-18-d6 uptake in the brain and spinal cord between ALS patients (at baseline and day 360) and healthy, age- and gender-matched subjects, as assessed by PET and MRI to allow morphological mapping [Time Frame: Baseline and day 360] Voxelwise maps of the total distribution volume (VT; ml g- 1) of [18F]RoSMA-18-d6 are calculated using the Logan method (42) as well as compartmental modelling i.e., the evaluation of the microparameters of a two-tissue reversible binding model (43) Mean parametric maps for brain are calculated for the baseline and follow-up conditions in the controls and ALS patient groups. Furthermore, standardized uptake values (SUV) regarding tracer uptake after 15, 30, 60 and - if available - 90 minutes will be determined",,Change in FVC PET scan,471497,Efficacy > Imaging,Efficacy > Respiratory Function Efficacy > Imaging,,I,,5,0,0,0,0,1,6,EFFICACY,0,0,0,0
,0,,Fixation and distribution of [18F]DPA-714 (Binding Potential BP) [ Time Frame: 18 months ],MARIA NCT02405403 PHAO-13-PC/MARIA,Concentration of cytokines in cerebrospinal fluid (pg/mL) [ Time Frame: 18 months ],,,254890,,,,(N/A),,0,0,0,0,0,2,2,PHARMACOKINETIC,0,0,0,0
,0,,,[18F]PBR06 NCT03876002,Time-activity data [ Time Frame: 1 year ],,,345363,,,,I,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
,0,,Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and neuropsychiatric test scores [ Time Frame: 60-90 minutes post injection ] Correlation between standard uptake value ratio (SUVR) of [18F]PI-2620 positron emission computed tomography and indices of structural MRI [ Time Frame: 60-90 minutes post injection ],NCT03510572 PI-18001,Cross-sectional [18F]PI-2620 Imaging Results [ Time Frame: 60-90 minutes post injection ] .Assess the rate of change of tau deposition as measured by [18F]PI-2620 uptake (SUVR) over time [ Time Frame: 60-90 minutes post injection ],,Magnetic Resonance Imaging,323339,,Efficacy > Imaging,,(N/A),,1,0,0,0,0,0,1,EFFICACY,0,0,0,0
Adverse Events Common Terminology Criteria for Adverse Events Safety and Tolerability Vital signs,0,,"[18F]RP-115 diagnostic performance [Time Frame: Three years] Sixty (90) subjects (subjects with AD, FTD, and healthy age-matched controls) will undergo a brain PET/MRI scan that will be start 30-90 minutes after an [18F]RP-115 injection and will last about 60-90 minutes. In selected subjects, blood sample collection via arterial catheter will be performed. Significant changes in the [18F]RP-115 cerebral tracer binding parameters will be used in order to identify the primary affected regions in patients with Alzheimer disease compared to healthy age-matched controls. Outcome Measure: Radioactivity distribution volume in select organs, mCi/L",13180640 NCT05374278,"Safety of Administered dose [Time Frame: A year] Each study participant will undergo a physical examination, vital signs, and ECGs prior to and after the scan and will also be monitored during the scan for adverse events. Additionally, a follow-up with the subject will be conducted 24-48 hours after [18F]RP-115 administration. Outcome Measure: Any adverse events will be recorded and graded according to Common Terminology Criteria for Adverse Events. Dosimetry of [18F]RP-115 [Time Frame: A year] Whole-body PET/MRI scan will be conducted immediately after an [18F]RP-115 injection and last about 3.5 hours (including breaks) in 8 healthy volunteers (male and female). Equivalent organ radiation doses will be calculated in selected organs using the dynamic PET/MRI data in order to calculate the dosimetry of the tracer. Outcome Measure: Radiation exposure per organ as milliSievert/kg Biodistribution of [18F]RP-115 [Time Frame: A year] Whole-body PET/MRI scan will be conducted immediately after an [18F]RP-115 injection and last about 3.5 hours (including breaks) in 8 healthy volunteers (male and female). Percent injected activity (%IA) will be calculated in selected organs using the dynamic PET/MRI data in order to calculate the biodistribution of the tracer. Outcome Measure: Percent injected activity (%Injected radioactivity) in selected organs.",,,432602,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,,,Iii,,0,13,0,1,0,3,17,SAFETY,0,0,0,0
,0,,,MNI-777 NCT02103894,Brain uptake of [18F]T807 ([18F]MNI-777) [ Time Frame: 2 years ],,,232400,,,,I,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
PET scan Stroke,0,,,94-N-0205 940205 NCT00001972,,,,223534,Efficacy > Imaging Safety/Toxicity > Major Adverse Cardiovascular Events,,,(N/A),,1,3,0,0,0,0,4,SAFETY,0,0,0,0
PET scan,0,,"Percentage of patients who exhibit apraxia of speech as measured by the Apraxia of Speech Rating Scale at presentation [ Time Frame: Study entry, approximately day 1 or day 2 of study ] Temporoparietal hypometabolism as shown on [18-F]-fluoro-deoxy-glucose positron emission tomography (FDG-PET) scan at presentation [ Time Frame: Study entry, approximately day 1 or day 2 of study ] Grey matter loss as shown on magnetic resonance imaging (MRI) at presentation [ Time Frame: Study entry, approximately day 1 or day 2 of study ]",09-008772 NCT01623284,"Percentage of patients with different speech and language based dementia (SLD) subtypes who have a [N-methyl-11C]2-(4'-methylaminophenyl)-6-hydroxybenzothiazole (PiB) positive positron emission tomography (PET) scan at presentation [ Time Frame: Study entry, approximately day 1 or day 2 of study ]",,Magnetic Resonance Imaging PET scan,228826,Efficacy > Imaging,Efficacy > Imaging Efficacy > Imaging,,I,,2,0,0,0,0,1,3,EFFICACY,0,0,0,0
,0,,,18F-AV-45-010 NCT01890343,Qualitative Amyloid Image Assessment [ Time Frame: 50-60 min after injection ] Quantitative Amyloid Image Assessment [ Time Frame: 50-60 minutes after injection ],,,230737,,,,Ii,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
PET scan,1,,"Using PiB-PET, to ascertain cross-sectionally the magnitude and the spatial distribution of amyloid deposition in the brain in subjects who are clinically classified as CN, MCI, and demented. [Time Frame: up to 20 years] To identify the relationship between amyloid burden and the risk of progression from CN at baseline to MCI. [Time Frame: up to 20 years] To identify the relationship between amyloid burden and the risk of progression from MCI at baseline to dementia. [Time Frame: up to 20 years] To measure longitudinal change in amyloid burden and cognition and characterize the correlation between change on serial PiB-PET measures vs. FDG measures and concurrent change on continuous measures of cognitive performance. [Time Frame: up to 20 years]",08-005553 NCT00950430 R01AG011378 U01AG006786,To understand the predictive ability of PiB PET imaging for neurodegenerative diseases. [Time Frame: up to 20 years],,Cognitive function test,241625,Efficacy > Imaging,Efficacy > Patient Assessment Instruments,,Iv,,2,0,1,0,1,1,5,EFFICACY,0,0,0,0
Common Terminology Criteria for Adverse Events Safety and Tolerability Treatment Emergent Adverse Events,0,,"Measurement of biodistribution of 18F-OP-801 for each participant [Time Frame: Through study completion at Day 15 or Day 18-29] Measure biodistribution of 18F-OP-801 using whole body PET/MRI or PET/computed tomography (CT) scans Measurement of clearance of 18F-OP-801 for each participant [Time Frame: Through study completion at Day 15 or Day 18-29] Measure clearance of 18F-OP-801 using whole body PET/MRI or PET/computed tomography (CT) scans Assess ability of 18F-OP-801 to detect regions of neuroinflammation in ALS, AD, MS, and PD participants [Time Frame: Through study completion at Day 15 or Day 18-29] Determine correlation between MRI and PET images in each subject, quantifying the extent of 18F-OP-801 uptake in the region of neuroinflammation relative to normal brain section in the same subject as measured by whole body PET/MRI or PET/CT scans Assess test/retest imaging repeatability [Time Frame: Through study completion at Day 18-29] Compare regional and global brain uptake of 18F-OP-801 on two separate occasions Correlation between plasma NfL levels and degree of 18F-OP-801 uptake in each participant [Time Frame: Screening and Day 1] Correlation of plasma NfL levels with brain PET signal Correlation between relevant clinical scales and degree of 18F-OP-801 uptake in each participant [Time Frame: Screening and Day 1] Correlation of ALSFRS-R/PUMNS, MMSE, EDSS or SE-ADL scores with brain PET signal Correlation between plasma biomarker levels and PET signal for each participant [Time Frame: Screening and Day 1] Correlation of plasma levels for various biomarkers with brain PET signal Evaluate timeframe for optimal CNS tracer uptake [Time Frame: Day 1] Determine the timing of maximal 18F-OP-801 uptake in CNS tissue",NCT05395624 OP-801-001,"The number of participants with treatment emergent adverse events (Safety and Tolerability) [Time Frame: Safety and tolerability of 18F-OP-801 as assessed by the frequency, and severity of treatment-emergent adverse events (TEAEs) from Day 1 to Day 15 or Day 18-29] Safety of single dose of 18F-OP-801 as measured by treatment-related adverse events as assessed by CTCAE v5.0",,Expanded Disability Status Scale Magnetic Resonance Imaging Mini Mental State Examination PET scan Schwab and England Activities of Daily Living,433210,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Adverse Drug Reactions,Efficacy > Patient Assessment Instruments Efficacy > Imaging Efficacy > Patient Assessment Instruments Efficacy > Imaging Efficacy > Patient Assessment Instruments,,Iii,,2,12,4,2,0,2,22,SAFETY,0,0,0,0
Adverse Events Cardiac Telemetry PET scan Safety and Tolerability Serious Adverse Events,0,"October 11, 2023 ClinicalTrials.gov Results Results First Posted: October 11, 2023 Last Update Posted: October 11, 2023 Recruitment Details: No data entered Pre-assignment Details: No data entered Limitations and Caveats: The main limitation of the study is the small number of participants in the [18F]FEMPA PET analysis, which is one of the primary outcomes. In total, only 8 participants (5 in the 15mg group and 3 in the 30mg group) were analysed. The reasons for not including in the analysis are: PET scan data loss due to technical issues (1 participant), PET scan not being performed due to FEMPA production/QC failure (1 participant), and data being uninterpretable at analysis stage (6 participants). [Refer to source URL for tabular data] https://clinicaltrials.gov/study/NCT05039268?tab=results","Secondary Outcome Measures: Diffusion Kurtosis Using MRI Scan [ Time Frame: 7 Days ] Change in diffusion kurtosis using MRI scan of the brain to determine whether the blood brain barrier integrity can be measured in ALS by Magnetic Resonance Imaging, and whether 3K3A-APC is able to repair it Monocyte Activation [ Time Frame: 7 Days ] Change in the level of monocyte activation in the peripheral blood utilising a novel method. Cytokine Level [ Time Frame: 7 Days ] Change in cytokine level in serum, plasma and CSF. Chemokine Level [ Time Frame: 7 Days ] Change in chemokine level in serum, plasma and CSF. Neurofilament Level [ Time Frame: 7 Days ] Change in neurofilament level in serum, plasma and CSF. Soluble CD14 Level [ Time Frame: 7 Days ] Change in soluble CD14 level in serum, plasma and CSF. Kynurenine Level [ Time Frame: 7 Days ] Change in kynurenine level in serum, plasma and CSF.",ACTRN12621000864820 NCT05039268 TrialTroveID-387398 ZZ-3K3A-202,"Primary Outcome Measures: Number of Participants Who Had Any Serious Adverse Events or Any Adverse Events With Severity Higher Than ""Moderate"". [ Time Frame: 15 Days ] Number of participants who had any serious adverse events or any adverse events with severity higher than ""moderate"", as determined by the Principal Investigator, using the composite safety assessment including clinical laboratory testing (full blood count, biochemistry, coagulation, iron study, CSF analysis and ECG), physical examination and self-reporting of adverse events. All clinical significant findings in the composite safety assessment were reported as adverse events. Percentage of Change in PERSI Score in the Motor Cortex Before and After Dosing [ Time Frame: 7 Days ] PERSI (Parametric Estimation of Reference Signal Intensity) score is the measurement of microglial activation in the motor cortex utilising serial [18F]FEMPA PET imaging. The percentage of change in PERSI score before and after dosing in the two (2) dose cohorts is calculated.",Participant Flow Overall Study 15mg Dose Group Started 8 Completed 8 Not Completed 0 30mg Dose Group Started 8 Completed 8 Not Completed 0 https://clinicaltrials.gov/study/NCT05039268?tab=results,Magnetic Resonance Imaging,387398,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Cardiac Measures/Events Efficacy > Imaging Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,Efficacy > Imaging,https://clinicaltrials.gov/study/NCT05039268?tab=results,Ii,"Completed, Outcome indeterminate",2,15,0,6,0,0,23,SAFETY,0,0,0,1
