Other Tested Drug,Other Tested Drug: Mechanism Of Action,reached_phase_3_plus,Other Tested Drug: Target,Treatment Plan,Protocol/Trial ID,Prior/Concurrent Therapy,Other Tested Drug: Therapeutic Class,Primary Tested Drug: Target,Trial.ID,Primary Tested Drug,Primary.Tested.Drug.Mechanism.Of.Action,Primary Tested Drug: Therapeutic Class,Trial Phase
,,0,,Number of Arms: 2 Experimental : ALS patients ALS patients will get two imaging sessions with [18F]RoSMA-18-d6 PET/CT and MRI-scans one year apart Experimental : Healthy volunteers Healthy volunteers will get only one pair of [18F]RoSMA-18-d6 PET/CT and MRI scans,18F-RoSMALS NCT05880563,,,,471497,[18F]-RoSMA-18-d6,,,I
,,0,,,MARIA NCT02405403 PHAO-13-PC/MARIA,,,,254890,[18F]DPA-714 PET,,,(N/A)
,,0,,,[18F]PBR06 NCT03876002,,,,345363,[18F]PBR06,,,I
,,0,,,NCT03510572 PI-18001,,,,323339,[18F]PI-2620,,,(N/A)
,,0,,Number of Arms: 4 Experimental : Cohort 1 - dosimetry of [18F]RP-115 in healthy volunteers Establish [18F]RP-115 safety in the clinic with male and female PET imaging. Experimental : Cohort 2B - [18F]RP-115 in patients with AD Comparison of [18F]RP-115 PET binding between AD patients and age-matched cognitively normal controls and between AD and FTD Experimental : Cohort 2C - [18F]RP-115 in patients with FTD Comparison of [18F]RP-115 PET binding between AD patients and age-matched cognitively normal controls and between AD and FTD Experimental : Cohort 2A - [18F]RP-115 in age-matched controls Comparison of [18F]RP-115 PET binding between AD patients and age-matched cognitively normal controls and between AD and FTD,13180640 NCT05374278,,,,432602,[18F]RP-115 PET/MRI or PET/CT and MRI,,,Iii
,,0,,,MNI-777 NCT02103894,,,,232400,[18F]T807 ([18F]MNI-777),,,I
,,0,,,94-N-0205 940205 NCT00001972,,,,223534,15 O Water,,,(N/A)
,,0,,,09-008772 NCT01623284,,,,228826,18F-fludeoxyglucose C-11 PiB,Unidentified pharmacological activity,Imaging agent,I
,,0,,,18F-AV-45-010 NCT01890343,,,,230737,18F-fludeoxyglucose florbetapir 18F,Unidentified pharmacological activity,Imaging agent,Ii
,,1,,"Number of Arms: 1 Experimental : PiB PET, FDG PET, Tau PET",08-005553 NCT00950430 R01AG011378 U01AG006786,,,,241625,18F-fludeoxyglucose Pittsburgh Compound B (C-11 PiB) Tau (18-F-AV-1451),Unidentified pharmacological activity,Imaging agent,Iv
,,0,,Number of Arms: 5 Experimental : Healthy Volunteer participants Intravenous Administration of 18F-OP-801 (18F Hydroxyl Dendrimer) Experimental : Amyotrophic Lateral Sclerosis participants Intravenous Administration of 18F-OP-801 (18F Hydroxyl Dendrimer) Experimental : Alzheimer's Disease participants Intravenous Administration of 18F-OP-801 (18F Hydroxyl Dendrimer) Experimental : Multiple Sclerosis participants Intravenous Administration of 18F-OP-801 (18F Hydroxyl Dendrimer) Experimental : Parkinson's Disease participants Intravenous Administration of 18F-OP-801 (18F Hydroxyl Dendrimer),NCT05395624 OP-801-001,,,,433210,18F-OP-801,,,Iii
,,0,,"Number of Arms: 2 Arm 1: Active Comparator: 15mg Dose Group Participants will receive a fixed dose regimen of five doses of 15mg. Intervention: Drug: 3K3A-APC Protein 3K3A-APC with intravenous dosing of five doses of either 15mg or 30mg at 12 hourly interval. The first 8 patients will receive 15mg dose, and the next 8 patients will receive 30mg dose. Other Name: 3K3A-APC Arm 2: Active Comparator: 30mg Dose Group Participants will receive a fixed dose regimen of five doses of 30mg Intervention: Drug: 3K3A-APC Protein 3K3A-APC with intravenous dosing of five doses of either 15mg or 30mg at 12 hourly interval. The first 8 patients will receive 15mg dose, and the next 8 patients will receive 30mg dose. Other Name: 3K3A-APC",ACTRN12621000864820 NCT05039268 TrialTroveID-387398 ZZ-3K3A-202,,,"protein C, inactivator of coagulation factors Va and VIIIa",387398,3K3A-APC,Protein C stimulant,"Symptomatic antidiabetic; Recombinant, other; Vulnerary; Neuroprotective",Ii
,,0,,"Number of Arms: 2 Experimental : Healthy participants Will receive 40MBq of 89Zr-DFO-AP-101, once, at Day 0. Experimental : Patients with ALS Will receive 40MBq of 89Zr-DFO-AP-101, once, at Day 0.",2024-5148 NCT05974579,,,,480013,89Zr-DFO-AP-101,Radioemitter,Imaging agent,I
,,0,,"A 24-month study Number of arms: 2 Arm 1: Experimental: AADvac1 40 µg The intervention consists of Axon Peptide 108 coupled to keyhole limpet haemocyanin (KLH) 40 µg/0.30 mL suspension for injection; and aluminium hydroxide Al(OH)3 (containing approx. 0.5 mg Al3+/0.30 mL), administered subcutaneously. The basic immunisation regimen consists of 6 doses administered subcutaneously in 6-week intervals. Subsequently, 5 booster doses are applied in 13-week intervals, for a total of 11 administrations. Assigned Interventions: Drug: AADvac1 40 µg Active immunotherapy against neurofibrillary pathology. Patients randomly allocated to a regular dose or a high dose in a 1:1 ratio, treated and observed during a period of 18 weeks Arm 2: Experimental: AADvac1 160 µg The intervention consists of Axon Peptide 108 coupled to KLH 160 µg/0.30 mL suspension for injection; and aluminium hydroxide Al(OH)3 (containing approx. 0.5 mg Al3+/0.30 mL), administered subcutaneously. The basic immunisation regimen consists of 6 doses administered subcutaneously in 6-week intervals. Subsequently, 5 booster doses are applied in 13-week intervals, for a total of 11 administrations. Assigned Interventions: Drug: AADvac1 160 µg Active immunotherapy against neurofibrillary pathology.",AC-TP-001 AIDA EudraCT Number: 2017-000643-41 NCT03174886 TrialTroveID-302891,,,microtubule associated protein tau,302891,AADvac1,Tau aggregation inhibitor,Cognition enhancer,I
,,0,,"Number of Arms: 2 Arm 1: Experimental: Cohort1 The target putamen for AAV-hAADC-2 infusion is identified on MRI image that has been taken prior to the operation, and then subjects will be bilaterally infused with a total volume of 200 µL at a total of 4 sites (2 sites in left putamen, 2 sites in right putamen; 50 µL per site) at a flow rate of 3 µL per minute. Assigned Interventions: Genetic: Cohort1: AAV-hAADC-2 is administered via bilateral intra-putaminal infusion. The number of vector genomes (vg) administered in this cohort is 3x10^11 vg/subject. Arm 2: Experimental: Cohort2 The target putamen for AAV-hAADC-2 infusion is identified on MRI image that has been taken prior to the operation, and then subjects will be bilaterally infused with a total volume of 600 µL at a total of 4 sites (2 sites in left putamen, 2 sites in right putamen; 150 µL per site) at a flow rate of 3 µL per minute. Assigned Interventions: Genetic: Cohort2: AAV-hAADC-2 is administered via bilateral intra-putaminal infusion. The number of vector genomes (vg) administered in this cohort is 9x10^11 vg/subject. The target putamen for AAV-hAADC-2 infusion is identified on MRI image that has been taken prior to the operation, and then subjects will be bilaterally infused with a total volume of 200 / 600 µL at a total of 4 sites (2 sites in left putamen, 2 sites in right putamen; 50 / 150 µL per site) at a flow rate of 3 µL per minute on Day 0. Subjects stay in a hospital for 14 days after infusion of AAV-hAADC-2.",JMU-AAV-AADC-PD NCT02418598 TrialTroveID-219951 UMIN000017377,,,dopa decarboxylase,219951,"AAV-hAADC-2, Gene Therapy Research",DOPA decarboxylase stimulant,Gene therapy; Antiparkinsonian,Iii
,,1,,"Number of treatment arms in the trial: 2 Arm 1 Experimental: Dolutegravir/Abacavir/Lamivudine Combination of Dolutegravir, Abacavir and Lamivudine in a single product/capsule. 4 capsules to be taken orally once daily (all 4 at the same time, each capsule is Dolutegravir 12.5mg, Abacavir 150mg and Lamivudine 75mg). Maximum duration is 24months Drug: Dolutegravir, Abacavir and Lamivudine Dolutegravir 50mg, Abacavir 600mg and Lamivudine 300mg. Other Name: Triumeq Arm 2 Placebo Comparator: Placebo 4 capsules to be taken orally once daily (all 4 at the same time). Maximum duration is 24months Drug: Placebo Matching placebo. Triumeq (abacavir 600 mg, lamivudine 300 mg and dolutegravir 50 mg) or matched placebo, once daily in addition to standard care, in a 2:1 treatment/placebo allocation ratio in participants with ALS, in order to determine the superiority of treatment versus placebo. If the trial is not terminated at a planned interim analysis, the trial will continue until 24 months after the last enrolled participant or a minimum of 212 events have occurred, whichever is first",EudraCT Number: 2020-005069-15 ISRCTN88446415 Lighthouse 2 LIGHTHOUSE 2 Lighthouse II LIGHTHOUSE II LIGHTHOUSEII NCT05193994 NL77109.041.21 TrialTroveID-364543,,,"gag-pol, HIV-1",364543,abacavir + dolutegravir + lamivudine,Nucleoside reverse transcriptase inhibitor; HIV integrase inhibitor,"Antiviral, anti-HIV; Reformulation, fixed-dose combinations",Iii
riluzole,Dopamine receptor agonist; Glutamate antagonist; Voltage-gated sodium channel antagonist,0,sodium voltage-gated channel alpha subunit 5,"No. of arms: 1 Arm1: Experimental: Single arm open label All subjects will receive open label Triumeq following a lead-in phase. Triumeq is abacavir 600mg, lamivudine 300mg, dolutegravir 50mg Assigned Interventions: Drug: Triumeq Triumeq, a combination of dolutegravir, abacavir and lamivudine is an anti-retroviral therapy indicated for people with HIV-1 infection. Other Names: dolutegravir (50mg) abacavir (600mg) lamivudine (300mg) The overall study duration will be 34 weeks, with up to 14 days for screening, followed by an 8-week lead-in phase and 24-week treatment phase. Outcomes will be measured at 4, 8, 12, 20 and 24 weeks. Participants will be followed at 4-weekly intervals for safety and clinical measures. Subjects will be screened for the study after signing an approved Informed consent form. As part of the 14 day screening phase, subjects will undertake an extensive medical and neurological assessments. Following the screening phase subjects will enter the 8 week lead-in-phase. During this phase, they will undertake two ALSFRS-R at 4 week intervals. The ALSFRS-R will be undertaken with the subject by telephone. At the baseline visit, following the lead-in-period, blood and urine will be taken for safety monitoring and also bio-banked for possible future measurement of Human Endogenous Retroviruses (HERVs). Baseline signs and symptoms will be collected. All subjects will have their inclusion and exclusion criteria checked at the Baseline visit (Week 0) and eligible subjects will start the Triumeq. Subjects will return to the centre on Weeks 4, 8, 16, 24 and at 7 days after the last dose of investigational product (or early termination) to undertake a neurological examination as well as an assessment of the ALS Functional Rating Scale-Revised (ALSFRS-R), neurophysical index (NPI), forced vital capacity (FVC) as measured by handheld spirometer, SNIP test and quantitative hand muscle testing by dynamometry. All subjects will undertake an evaluation of hematological and biochemical parameters and collection of blood and urine samples for bio-banking. A voice recording will be undertaken. At early termination visit, subjects will undergo an ECG Test. At baseline, weeks 8, 16 and 24 or early termination visit subjects will be asked to complete the Columbia Suicide Severity Rating Scale. At screening week 8 and end of treatment/early termination visit, subjects will also be asked to complete an ALSFRS-R. Subjects will be given additional study product to account for the 7- day window. All patients were taking riluzole. Patients were followed for 2 months as a lead-in and then treated with Triumeq for 6 months. Patients who developed any SAE during lead-in phase were replaced, but not replaced during the treatment phase. Patients were followed monthly by either on-site visits or remotely for some follow-ups.",CUR-101 Lighthouse NCT02868580 TrialTroveID-284540,,Antiparkinsonian; Antipsychotic; Neuroprotective,"gag-pol, HIV-1",284540,abacavir + dolutegravir + lamivudine,Nucleoside reverse transcriptase inhibitor; HIV integrase inhibitor,"Antiviral, anti-HIV; Reformulation, fixed-dose combinations",Ii
,,0,,Three doses were administered in Japanese and Western subjects. The highest dose was administered in the Han Chinese subjects. Serial blood samples were analyzed for drug levels.,TrialTroveID-513380,,,eukaryotic translation initiation factor 2B subunit alpha,513380,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
moxifloxacin (tablet),DNA topoisomerase II inhibitor; DNA topoisomerase IV inhibitor,0,"DNA gyrase (type II topoisomerase), subunit A, Escherichia coli; DNA gyrase subunit A, Bacteroides fragilis; DNA gyrase subunit A, Chlamydia pneumoniae; DNA gyrase subunit A, Clostridium perfringens; DNA gyrase subunit A, Enterobacter cloacae; DNA gyrase subunit A, Enterococcus faecalis; DNA gyrase subunit A, Klebsiella pneumoniae; DNA gyrase subunit A, Mycobacterium tuberculosis; DNA gyrase subunit A, Proteus mirabilis; DNA gyrase subunit A, Staphylococcus aureus; DNA gyrase subunit A, Streptococcus pneumoniae; DNA topoisomerase IV subunit A, Bacteroides fragilis; DNA topoisomerase IV subunit A, Chlamydia pneumoniae; DNA topoisomerase IV subunit A, Clostridium perfringens; DNA topoisomerase IV subunit A, Enterobacter cloacae; DNA topoisomerase IV subunit A, Enterococcus faecalis; DNA topoisomerase IV subunit A, Escherichia coli; DNA topoisomerase IV subunit A, Klebsiella pneumoniae; DNA topoisomerase IV subunit A, Proteus mirabilis; DNA topoisomerase IV subunit A, Staphylococcus aureus; DNA topoisomerase IV subunit A, Streptococcus pneumoniae","Number of Arms: 4 Experimental: Sequence 1 Subjects will receive ABBV-CLS-7262 dose 1, ABBV-CLS-7262 dose 2, placebo, or moxifloxacin 400 mg tablet Drug: ABBV-CLS-7262 • single oral Dose 1 Drug: ABBV-CLS-7262 • single oral Dose 2 Drug: Placebo • single oral dose Drug: Moxifloxacin 400mg • single oral dose Experimental: Sequence 2 Subjects will receive ABBV-CLS-7262 dose 1, ABBV-CLS-7262 dose 2, placebo, or moxifloxacin 400 mg tablet Drug: ABBV-CLS-7262 • single oral Dose 1 Drug: ABBV-CLS-7262 • single oral Dose 2 Drug: Placebo • single oral dose Drug: Moxifloxacin 400mg • single oral dose Experimental: Sequence 3 Subjects will receive ABBV-CLS-7262 dose 1, ABBV-CLS-7262 dose 2, placebo, or moxifloxacin 400 mg tablet Drug: ABBV-CLS-7262 • single oral Dose 1 Drug: ABBV-CLS-7262 • single oral Dose 2 Drug: Placebo • single oral dose Drug: Moxifloxacin 400mg • single oral dose Experimental: Sequence 4 Subjects will receive ABBV-CLS-7262 dose 1, ABBV-CLS-7262 dose 2, placebo, or moxifloxacin 400 mg tablet Drug: ABBV-CLS-7262 • single oral Dose 1 Drug: ABBV-CLS-7262 • single oral Dose 2 Drug: Placebo • single oral dose Drug: Moxifloxacin 400mg • single oral dose",M24-852 NCT06310876 TrialTroveID-508060,,Antimycobacterial; Quinolone antibacterial,eukaryotic translation initiation factor 2B subunit alpha,508060,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
,,0,,"Number of Arms: 1 Experimental: Period 1, 2 and 3 ABBV-CLS-7262 Participants will receive ABBV-CLS-7262 administered under fasted conditions. Participants will receive ABBV-CLS-7262 administered under fed conditions (high-fat/high-calorie breakfast). Participants will receive ABBV-CLS-7262 administered with applesauce. Drug: ABBV-CLS-7262 ABBV-CLS-7262",M24-851 NCT06145607 TrialTroveID-493451,,,eukaryotic translation initiation factor 2B subunit alpha,493451,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
rosuvastatin calcium digoxin,HMGCoA reductase inhibitor Na+ K+ transporting ATPase inhibitor,0,3-hydroxy-3-methylglutaryl-CoA reductase,Number of Arms: 1 Experimental: ABBV-CLS-7262 ABBV-CLS-7262 + Digoxin + Rosuvastatin Drug: ABBV-CLS-7262 Drug: ABBV-CLS-7262 Drug: Digoxin Drug: Rosuvastatin,M24-192 NCT05763459 TrialTroveID-461774,,"Anticancer, other; Cardiostimulant; Cardiovascular; Hypolipaemic/Antiatherosclerotic; Urological; Antidepressant; Neuroprotective Antiarrhythmic; Cardiostimulant",eukaryotic translation initiation factor 2B subunit alpha,461774,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
,,1,,Number of Arms: 3 Arm:1 Experimental : ABBV-CLS-7262 Dose 1 Drug: ABBV-CLS-7262 Dose 1 ABBV-CLS-7262 is administered orally once per day for 24 weeks. Experimental : ABBV-CLS-7262 Dose 2 Drug: ABBV-CLS-7262 Dose 2 ABBV-CLS-7262 is administered orally once per day for 24 weeks. Placebo Comparator : Matching Placebo Drug: Matching Placebo Matching placebo is administered orally once per day for 24 weeks.,2019P003518F HEALEY ALS Platform – Regimen F NCT05740813 TrialTroveID-459902,,,eukaryotic translation initiation factor 2B subunit alpha,459902,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,Ii/Iii
,,0,,Subjects receive oral administration of ABBV-CLS-7262 in single and multiple ascending doses for up to 14 days Subjects received ABBV-CLS-7262 and 33 received placebo.,TrialTroveID-396430,,,eukaryotic translation initiation factor 2B subunit alpha,396430,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
,,0,,Number of Arms: 4 Arm: 1 Active Comparator: ABBV-CLS-7262 LOW DOSE Drug: ABBV-CLS-7262 Oral Arm: 2 Active Comparator: ABBV-CLS-7262 MEDIUM DOSE Drug: ABBV-CLS-7262 Oral Arm: 3 Active Comparator: ABBV-CLS-7262 HIGH DOSE Drug: ABBV-CLS-7262 Oral Arm: 4 Placebo Comparator: PLACEBO Drug: Placebo Oral,CCR-21-30 M20-405 NCT04948645 TrialTroveID-396402,,,eukaryotic translation initiation factor 2B subunit alpha,396402,ABBV-CLS-7262,Translation initiation factor 2B stimulant,Antiparkinsonian; Neuroprotective,I
,,1,,Patients received BoNT-A (Dysport) which was 75IU injected in each parotid gland (4-6sites) and 50IU in each submandibular gland (2sites). All but one patients received at least 3 therapy sessions.,TrialTroveID-255054,,,Unspecified,255054,abobotulinumtoxinA,Acetylcholine release inhibitor,"Dermatological; Female sexual dysfunction; Urological; Antiarthritic, other; Muscle relaxant; Analgesic, other; Antimigraine; Ophthalmological, other",Iv
,,0,,Subjects will receive PXT864.,TrialTroveID-345889,,,gamma-aminobutyric acid type B receptor subunit 1,345889,"acamprosate + baclofen, Pharnext",GABA B receptor agonist,"Reformulation, fixed-dose combinations; Antiparkinsonian; Cognition enhancer; Neurological; Neuroprotective",Ii
,,0,,Subjects to be treated with PXT-864.,TrialTroveID-252392,,,gamma-aminobutyric acid type B receptor subunit 1,252392,"acamprosate + baclofen, Pharnext",GABA B receptor agonist,"Reformulation, fixed-dose combinations; Antiparkinsonian; Cognition enhancer; Neurological; Neuroprotective",Ii
,,0,,Subjects will receive Drug PXT-864.,TrialTroveID-188598,,,gamma-aminobutyric acid type B receptor subunit 1,188598,"acamprosate + baclofen, Pharnext",GABA B receptor agonist,"Reformulation, fixed-dose combinations; Antiparkinsonian; Cognition enhancer; Neurological; Neuroprotective",I
,,1,,Number of Arms: 3 Experimental : alcar 1.5 g 2 pockets of ALCAR will be administered t.i.d for 48 weeks. Total daily dosage : 1.5 g Experimental : alcar 3 g 2 pockets of ALCAR will be administered t.i.d for 48 weeks. Total daily dosage : 3 g Placebo Comparator : placebo 2 pockets of placebo will be administered t.i.d for 48 weeks.,ALCALS NCT06126315 TrialTroveID-492004,,,Unspecified,492004,acetyl L-carnitine,Carnitine O-acetyltransferase stimulant,"Symptomatic antidiabetic; Anticancer, other; Radio/chemoprotective; Analgesic, other; Antidepressant; Cognition enhancer; Neurological; Neuroprotective; Ophthalmological, other",Ii/Iii
,,0,,"After the start of ALCAR (3 gr/day), the same investigations were repeated after three months (T1) and six months (T2). Blood samples were taken from patients and controls to evaluate thiobarbituric-acidreactive-substances (TBARS), glutathione (GSH) and nitric oxide (NO)",TrialTroveID-423254,,,Unspecified,423254,acetyl-L-carnitine (oral),Carnitine O-acetyltransferase stimulant,"Symptomatic antidiabetic; Anticancer, other; Radio/chemoprotective; Analgesic, other; Antidepressant; Cognition enhancer; Neurological; Neuroprotective; Ophthalmological, other",Ii
riluzole,Dopamine receptor agonist; Glutamate antagonist; Voltage-gated sodium channel antagonist,0,sodium voltage-gated channel alpha subunit 5,"Patients received acetyl-L-carnitine 3g/day and placebo were added to riluzole 100mg/day. Patients’eligibility was tested, within 28 days before randomization visit (baseline). All eligible patients were randomized to receive ALC or placebo in addition to riluzole tablets 50 mg b.i.d. Experimental treatment included ALC in powder 500 mg per packet, or an equivalent placebo, supplied by Sigma-Tau Industrie Farmaceutiche Riunite, Pomezia, Italy. The dose was two packets t.i.d. Active treatment and placebo were indistinguishable to sight and taste. Symptomatic and palliative treatments given during the study were permitted and recorded.",TrialTroveID-166423,,Antiparkinsonian; Antipsychotic; Neuroprotective,Unspecified,166423,acetyl-L-carnitine (oral),Carnitine O-acetyltransferase stimulant,"Symptomatic antidiabetic; Anticancer, other; Radio/chemoprotective; Analgesic, other; Antidepressant; Cognition enhancer; Neurological; Neuroprotective; Ophthalmological, other",Ii
