Disease,reached_phase_3_plus,Trial Title,Therapeutic Area,Record URL,Protocol/Trial ID,Trial Status,MeSH Term,Trial.ID,Study Keywords,Trial Objective,Study Design,Trial Phase,Record Type,biomarker_diagnostic,biomarker_predictive,biomarker_prognostic,biomarker_predisposing,biomarker_total_uses,biomarker_count,has_neurofilament,has_nfl,has_tau,has_tdp-43,has_sod1,has_c9orf72,has_creatinine,has_albumin,has_inflammatory,Trial Outcomes,endpoint_efficacy,endpoint_safety,endpoint_functional,endpoint_biomarker,endpoint_survival,endpoint_pharmacokinetic,endpoint_total_categories,endpoint_primary_category,outcome_positive,outcome_negative,outcome_terminated,outcome_completed
CNS: Amyotrophic Lateral Sclerosis,0,"AMBroxol Therapy for ALS (AMBALS) Trial: a Double-blind, Randomised, Placebo-controlled Phase 2 Clinical Trial of Ambroxol for ALS",Cns,https://clinicalintelligence.citeline.com/trials/details/478911?qId=da896876-a29f-4f89-8e03-cde11c10782a,AMBALS FLO-AMB-01 NCT05959850 TrialTroveID-478911,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,478911,double blind/blinded; efficacy; multiple arm; placebo control; randomized; safety,"Ambroxol Is A Simple Cough Medicine That Is Predicted To Slow Als Disease Progression. This Study Aims To Investigate If Ambroxol In High Doses Is Effective In Treating Als. This Study Will Be Carried Out Across 5 Research Sites In Australia (2 Nsw, 1 Vic, 1 Sa And 1 Tas), Where Newly Diagnosed Als Patients Will Be Asked To Participate. Participation Will Be Over A 32-Week Period, Where They Will Come In For A 4-Week Screening, 24-Week Treatment, And 4-Week End Of Study Safety Follow-Up Period. The Participants Will Receive Either The Placebo Or Drug Solution That They Will Take Three Times A Day, Up-Dosing Each Week Until They Reach The Maximum Dose Or Highest Dose They Can Tolerate. Throughout The Study Their Disease Progression Will Be Assessed Using Tests,Questionnaires, And Blood Biomarkers.","Allocation : Randomized Intervention Model : Parallel Assignment Intervention Model Description : Randomised Controlled Trial. Participants Will Be Randomised At A 2:1 Ratio To The Drug Solution Or Placebo Respectively. Masking : Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Primary Purpose : Treatment A Double Blind/Blinded, Multiple Arm, Safety And Efficacy Study",Ii,Trialtrove,1,1,1,1,4,2.0,0,0,0,0,0,0,0,0,0,,8,0,6,1,8,0,23,EFFICACY,0,0,0,0
Unassigned,0,"Prospective Randomized Open, Blinded Endpoint (PROBE) Study of AMDX-2011P as a Retinal Tracer in Subjects With Neurodegenerative Diseases Associated With Amyloidogenic Proteinopathy",Unassigned,https://clinicalintelligence.citeline.com/trials/details/442442?qId=da896876-a29f-4f89-8e03-cde11c10782a,AMDX-2011P NCT05542576 PROBE,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Neurodegenerative Diseases; Parkinson Disease,442442,,The Purpose Of This Research Study Is To Assess Safety And Tolerability Of A Single Intravenous (Given Through A Vein) Dose Of The Investigational Retinal Tracer Amdx-2011P In Patients With Neurodegenerative Diseases (Parkinson'S Disease And Als).,Allocation : Non-Randomized Intervention Model : Sequential Assignment Intervention Model Description : Dose Escalating Via Cohorts Total 1-4 Cohorts Masking : None (Open Label) Primary Purpose : Diagnostic,Iii,Registry Only,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,7,0,2,0,7,16,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Acute Action of Aminophylline in Patients with Amyotrophic Lateral Sclerosis.,Cns,https://clinicalintelligence.citeline.com/trials/details/78769?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-078769,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,78769,cross over; double blind/blinded; placebo control; randomized,"To Investigate Whether Aminophylline Has An Acute Effect On The Muscle Performance Of Patients With Amyotrophic Lateral Sclerosis (Als). Outcomes Patients Were Evaluated By Means Of Forced Vital Capacity (Fvc), Maximal Mouth Inspiratory And Expiratory Pressures (P(Imax)/P(Emax)) And Endurance, Maximum Voluntary Ventilation (Mvv) And Handgrip Strength (Hs); Variables Were Measured Before And After The Treatment.","A Randomized, Double-Blind, Crossover Against Placebo Study.",Ii,Trialtrove,1,0,1,0,2,1.0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,2,EFFICACY,0,0,0,0
CNS: Dementia (non-Alzheimer's),0,Amiodarone Therapy for Treatment of Frontotemporal Dementia Caused by Progranulin Deficiency,Cns,https://clinicalintelligence.citeline.com/trials/details/313628?qId=da896876-a29f-4f89-8e03-cde11c10782a,AOBS-NEU-RPF-2011 EudraCT Number: 2011-004571-37 ReProIn-FTD TrialTroveID-313628,Completed,Dementia; Frontotemporal Dementia,313628,efficacy; open label; single arm,"To Evaluate The Progression Of Frontotemporal Dementia Caused By Progranulin Deficit 1) Reverse Progranulin Deficiency (2) Delay Disease Progression Somatic And Neurologic Examinations, Along With Cognitive And Behavioral Assessment","An Open Label, Single Arm And Single Centered Pilot Efficacy Study",Ii,Trialtrove,1,1,1,1,4,1.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,SURVIVAL,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,1,Open-Label Comparative Study of Amitriptyline and Dysport Efficacy in Control of Sialorrhoea in ALS.,Cns,https://clinicalintelligence.citeline.com/trials/details/80217?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-080217,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,80217,open label,To Compare Amitriptyline And Dysport Efficacy In Motor Neuron Disease (Mnd) Patients With Sialorrhoea. Outcome Measure: Side Effects Of Amitriptyline Were Assessed By Questioning Whether Patients Had Experienced At Least Two Of The Symptoms.,An Open-Label Comparative Trial.,Iii,Trialtrove,1,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"Trial of Amivita in Amyotrophic Lateral Sclerosis: a Single-center, Single-blind, Self-controlled Clinical Trial",Cns,https://clinicalintelligence.citeline.com/trials/details/298816?qId=da896876-a29f-4f89-8e03-cde11c10782a,NCT03103815 TrialTroveID-298816 WJ2017001,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,298816,double blind/blinded; efficacy; safety; single arm,"To Evaluate Amivita In Amyotrophic Lateral Sclerosis Outcomes: Subjects Will Also Be Assessed At Enrollment And At Study End For Weight Loss, Forced Vital Capacity (Fvc), Quality Of Life And Grip Strength.","Study Type: Interventional (Clinical Trial) Study Design: Intervention Model: Single Group Assignment Intervention Model Description: This Is A Self-Controlled Trial. All Participants Will Receive Treatment. Masking: None (Open Label) Masking Description: The Evaluating Investigators Will Be Blinded To Treatment Assignment. Patients In Our Center, Include Those Participate In The Trial And Those Receive Standard Therapy, Will Be Evaluated By Clinicians Who Do Not Know The Trial. Primary Purpose: Treatment A Single-Center, Single-Blind, Safety And Efficacy Study",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Outcome unknown",7,11,6,2,1,0,27,SAFETY,0,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase 1/2, Multicenter, Three-part Study to Evaluate the Safety, Tolerability, and Efficacy of Intrathecally Administered Gene Therapy AMT-162 in Patients With SOD1 Amyotrophic Lateral Sclerosis (SOD1-ALS).",Cns,https://clinicalintelligence.citeline.com/trials/details/489925?qId=da896876-a29f-4f89-8e03-cde11c10782a,AMT-162-001 NCT06100276 TrialTroveID-489925,Planned,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,489925,double blind/blinded; efficacy; immunogenicity; multiple arm; placebo control; randomized; safety; single ascending dose,"To Evaluate The Safety, Tolerability, And Efficacy Of Intrathecally Administered Gene Therapy Amt-162.","Allocation : Randomized Intervention Model : Sequential Assignment Masking : Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Primary Purpose : Treatment A Multiple Arm, Phase 1/2, Multicenter, Three-Part, Safety, Efficacy, Tolerability, Immunogenicity, Single Ascending Dose Study",Iii,Trialtrove,1,1,1,1,4,3.0,0,0,0,0,1,0,0,0,0,,10,7,8,2,1,1,29,EFFICACY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,A phase 1 study of AMX 0114 for the treatment of Amyotrophic lateral sclerosis,Cns,https://clinicalintelligence.citeline.com/trials/details/493738?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-493738,Planned,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,493738,,To Study The Effect Of Amx 0114 For The Treatment Of Amyotrophic Lateral Sclerosis,,I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Open Safety and Tolerability Trial to Evaluate a Subcutaneous Injection Solution of 100 mg of Anakinra in Combination with Riluzol in Amyotrophic Lateral Sclerosis,Cns,https://clinicalintelligence.citeline.com/trials/details/140927?qId=da896876-a29f-4f89-8e03-cde11c10782a,ANA-ALS01 EudraCT Number: 2010-019218-26 NCT01277315 TrialTroveID-140927,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,140927,efficacy; open label; safety; single arm,"To Evaluate A Subcutaneous Injection Solution Of 100 Mg Of Anakinra In Combination With Riluzol In Amyotrophic Lateral Sclerosis. To Evaluate The Safety And Tolerability Of Anakinra In Als Patients With A Predominant Presentation Of Lower Motor Neuron Dysfunction Pma. As Part Of The Physical Examination, A Measurement Of Blood Pressure And Heart Rate Is Made. The Technical-Diagnostic Apparatus Includes An Electrocardiogram (Ecg) And Measurement Of Vital Capacity Breath In The Form Of A Respiratory Function Tests. The Laboratory Tests Performed By A Standard Blood Sample (15 Ml) From An Arm Vein And Used To Analyze The Blood Count, Blood Clotting, Liver And Kidney Function, Electrolytes (Blood Salts), Various Immunological Parameters. The Questionnaires Are Provided For Your Self-Assessment On The Als-Related Symptoms. In Women Of Childbearing Age, A Pregnancy Test From The Urine Of A Compulsory Part Of The Entrance Examinations. Imaging Procedures Or Invasive Investigations Are Not Planned. Outcome Measures: History (Medical History) Body Size And Body Weight Medical-Physical Examination Clinical Neurological Examination Physical Examination Of Muscle Strength (Manual Muscle Testing) Measurement Of Blood Pressure And Heart Rate (Ekg) Electrocardiography (Ecg) Measurement Of Vital Capacity (Determination Of Lung Capacity) Urine Pregnancy Test In Women Of Childbearing Age Examination Of Blood And Clotting Chemical Laboratory Tests From The Blood Questionnaire To Assess The Severity Of Als Questionnaire For Self-Assessment Of Skin Reactions At The Injection Site For This Pilot Study, The Web-Based Platform Alshome.De Was Customized And Implemented. Alshome.De Comprises Several Modules That Allow For The Monitoring Of Side Effects And Self-Evaluation Using The Als-Frs-R. Serum Levels Of Il-1Ra, Il-6 And Il-1 Ss Were Analysed, And The Expression Levels Of The Most Common Als-Genes (Sod1 Und C9Orf72) Were Determined.","Study Type: Interventional Study Design: Control: Uncontrolled Endpoint Classification: Safety/Efficacy Study Intervention Model: Single Group Assignment Masking: Open Label Primary Purpose: Treatment A Pilot , Phase-Iib Study",Ii,Trialtrove,1,1,1,1,4,3.0,0,0,0,0,1,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",3,26,0,1,2,1,33,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,Trial of Oxaloacetate in ALS,Cns,https://clinicalintelligence.citeline.com/trials/details/363866?qId=da896876-a29f-4f89-8e03-cde11c10782a,NCT04204889 TOALS TrialTroveID-363866,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Unspecified,363866,dose response; open label; pharmacokinetics; safety; single arm,"To Determine The Safety And The Maximal Tolerated Dose Of Oxaloacetate (Oaa) In Patients With Amyotrophic Lateral Sclerosis (Als). Hypothesis: Oaa Will Be Neuroprotective In Als By Reducing Mitochondrial Stress. This Trial Will Determine Whether Oaa Is Tolerable And Whether It Engages Mitochondrial Targets In Als Patients. The Result Of This Trial Will Lead To A Larger Phase Ii Trial To Further Assess Safety And To Begin To Study Efficacy In Slowing The Disease Process. This Short 28 Day Study Is Too Brief To Study Efficacy. Specific Aim 1: To Determine Safety And The Maximal Tolerated Dose Of Oaa In Patients With Als. To Achieve This Aim We Will Conduct A Prospective 3 + 3 Dose Escalating Clinical Trial In Up To 24 Clinically Definite, Probable, Or Laboratory Supported Probable Als Patients. Sub-Aim 1: We Will Determine The Pharmacokinetic Profile Of Oaa In Als Patients. We Will Evaluate Oaa Drug Levels In A Pre-Dose Sample, 1 Hour And 4 Hours After Dosing. Specific Aim 2: To Determine Oaa Target Engagement. We Will Evaluate A Panel Of Mitochondrial Biomarkers, Platelet Tdp-43 Levels And Mr Spectroscopy Of Brain Glutathione, At Baseline Then At The End Of Treatment And Compare Biomarker Levels To Dose, To Evaluate Possible Dose-Response Relationship In Our Biomarkers. Future Aim: Our Goal Is To Use The Results From This Study To Conduct A Larger Prospective Placebo Controlled Trial To Determine If Oaa Is Well Tolerated And Slows Disease Progression In Als Using The Maximal Tolerated Dose That Will Be Determined During This Current Study","Study Type : Interventional (Clinical Trial) Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment A Pharmacokinetics, Safety, Prospective, Tolerability , Single Arm And Dose Response Study.",I,Trialtrove,1,0,1,0,2,1.0,0,0,0,0,0,0,0,0,0,,0,13,0,6,0,1,20,SAFETY,0,0,0,0
CNS: Alzheimer's Disease; CNS: Dementia (non-Alzheimer's),0,"The Effect of Aniracetam, Either as Monotherapy or Combined with Cholinesterase Inhibitors, on Neuropsychological Findings of Patients with dementia in Different Stages. (Data from the Greek Amnesia Study: Aniracetam Monotherapy Compared with Cholinesterase",Cns,https://clinicalintelligence.citeline.com/trials/details/14876?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-014876,Completed,Alzheimer Disease; Dementia; Frontotemporal Dementia; Vascular Dementia,14876,efficacy; open label,"To Evaluate The Efficacy Of Aniracetam, Either As Monotherapy Or In Combination With Cholinesterase Inhibitors (Chis), In Terms Of Cognitive, Functional And Behavioural Parameters, In Patients With Dementia. Patients Were Examined With Validated Neuropsychological Tests At Baseline, 3, 6, And 12 Months Of Treatment.","A Prospective, Multi-Centre, Open-Label, Efficacy Study.",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",1,0,1,0,0,1,3,EFFICACY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,ALSFRS Scores Improved after Multiple Infusions of Autologous Adipose Tissue-Derived Stem Cells in ALS Patients,Cns,https://clinicalintelligence.citeline.com/trials/details/418152?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-418152,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,418152,efficacy; open label; safety,To Confirm The Safety And To Investigate The Efficacy Of Intravenous Administration Of Autologous Adipose-Derived Stem Cells (Adscs) For Amyotrophic Lateral Sclerosis (Als).,"An Efficacy; Safety, Open Label Study.",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",1,6,0,1,0,1,9,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,Clinical research (ALS) using autologous fat tissue from the mesenchymal stem cells,Cns,https://clinicalintelligence.citeline.com/trials/details/312311?qId=da896876-a29f-4f89-8e03-cde11c10782a,jRCTb050190128 PB5160011 TrialTroveID-312311 UMIN000024132,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,312311,efficacy; open label; safety; single arm,"To Evaluate The Improvement Degree That Compares The Curative Effect On Amyotrophic Lateral Sclerosis Symptom Before And After The Mesenchyma System Stem Cell Dosage Derived From Adipose Tissue Among The Intractable Diseases. To Evaluate Safety And Efficacy Of Mesenchymal System Stem Cells In Amyotrophic Lateral Sclerosis Basic Objectives: Safety,Efficacy","Study Type: Interventional Blinding: Open -No One Is Blinded Control: Uncontrolled An Efficacy, Non-Randomized, Safety, Single Arm Study",I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,3,7,0,1,0,0,11,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Intrathecal Autologous Adipose-Derived MSC Treatment for ALS: Results of Phase I Clinical Trial,Cns,https://clinicalintelligence.citeline.com/trials/details/294141?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-294141,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,294141,,To Study Intrathecal Autologous Adipose-Derived Msc Therapy For Amyotrophic Lateral Sclerosis Patients,Dose-Escalation Clinical Trial,I,Trialtrove,1,1,1,0,3,1.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Multicenter Phase I/II Clinical Trial, Randomized, Controlled With Placebo, Triple Blind to Evaluate Safety, and Indications of Efficiency of the Intravenous Administration of the Therapy With 3 Doses of MSC in Patients With ASL Moderated to Severe",Cns,https://clinicalintelligence.citeline.com/trials/details/191427?qId=da896876-a29f-4f89-8e03-cde11c10782a,CeTMad/ELA/2011 EudraCT Number: 2011-006254-85 NCT02290886 REec-2013-0095 TrialTroveID-191427,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,191427,double blind/blinded; efficacy; multiple arm; placebo control; randomized; safety,To Study The Safety And Efficacy Of Administration Of Stem Cells Derived From Own Patient For The Treatment Of Amyotrophic Lateral Sclerosis (Als). To Evaluate The Safety Of The Intravenous Administration Of 3 Doses Of Autologous Mesenchymal Stem Cells Cells From Adipose Tissue In Patients With Amyotrophic Lateral Sclerosis (Als).,"Study Type: Interventional Study Design: Allocation: Randomized Intervention Model: Single Group Assignment Masking: Triple (Participant, Care Provider, Investigator) Primary Purpose: Treatment A Placebo Controlled, Parallel Group, Triple Blinded, Multicenter, Multiple Arm, Safety, Efficacy, Tolerability Study",Iii,Trialtrove,1,1,1,1,4,5.0,0,0,0,0,0,0,0,0,0,"Completed, Outcome unknown",8,15,4,1,7,0,35,SAFETY,0,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase 2a Safety, Tolerability, Pharmacokinetic (PK), and Pharmacodynamic (PD) Study of Intravenous ANX005 in Subjects With Amyotrophic Lateral Sclerosis (ALS)",Cns,https://clinicalintelligence.citeline.com/trials/details/385677?qId=da896876-a29f-4f89-8e03-cde11c10782a,ANX005-ALS-01 ANX005-IF-01 CCR-20-127 EudraCT Number: 2021-000325-26 NCT04569435 TrialTroveID-385677,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,385677,immunogenicity; open label; pharmacodynamics; pharmacokinetics; safety; single arm,"To Evaluate The Safety, Tolerability, Pharmacokinetics, And Pharmacodynamics Of Intravenous Anx005 In Subjects With Amyotrophic Lateral Sclerosis (Als).","Study Type: Interventional (Clinical Trial) Allocation: N/A Intervention Model: Single Group Assignment Intervention Model Description: Anx005 Administered For Up To 12 Weeks Masking: None (Open Label) Primary Purpose: Treatment A Multi-Center, Proof-Of-Biology, Safety, Tolerability, Pharmacokinetics, And Pharmacodynamic, Immunogenicity, Single Arm, Signal-Finding Phase 2A Study",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,5,15,4,5,0,9,38,SAFETY,0,0,0,0
CNS: Alzheimer's Disease; CNS: Dementia (non-Alzheimer's); CNS: Huntington's Disease,0,"A Phase 1, Randomized, Placebo-controlled, Double Blind, Single, Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of ANX005 Monotherapy and ANX005 in Combination With IVIg in Healthy Volunteers",Cns,https://clinicalintelligence.citeline.com/trials/details/293551?qId=da896876-a29f-4f89-8e03-cde11c10782a,ANX005-CP01 NCT02937753 NCT03010046 TrialTroveID-293551,Completed,Alzheimer Disease; Dementia; Frontotemporal Dementia; Huntington Disease; Unspecified,293551,double blind/blinded; multiple arm; pharmacodynamics; pharmacokinetics; placebo control; randomized; safety; single ascending dose,To Evaluate The Safety Of Anx005 Administered As An Intravenous Infusion As A Single Agent And In Combination With Intravenous Immunoglobulin (Ivig).,"Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Masking: Triple (Participant, Care Provider, Investigator) Primary Purpose: Treatment A Single-Center, Multiple Arm, Placebo Controlled, Single Ascending Dose, Tolerability, Pharmacokinetics, Pharmacodynamics And Safety Study",I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Early positive outcome",1,11,0,3,0,8,23,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase 2a, Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety, Tolerability, Pharmacodynamic Markers, and Pharmacokinetics of AP-101 in Patients With Familial Amyotrophic Lateral Sclerosis (fALS) and Sporadic Amyotrophic Lateral Sclerosis (sALS)",Cns,https://clinicalintelligence.citeline.com/trials/details/413450?qId=da896876-a29f-4f89-8e03-cde11c10782a,250403 AP-101-02 AP101-02 EudraCT Number: 2020-005971-11 NCT05039099 TrialTroveID-413450,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,413450,double blind/blinded; efficacy; multiple arm; pharmacodynamics; pharmacokinetics; placebo control; randomized; safety,"To Evaluate Safety, Tolerability, Pharmacodynamic Markers, And Pharmacokinetics Of Ap-101 After Multiple Intravenous (Iv) Doses Over 6 Months Of Treatment In Patients With Familial Amyotrophic Lateral Sclerosis (Fals) And Sporadic Amyotrophic Lateral Sclerosis (Sals)","Study Type : Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Masking: Double (Participant, Investigator) Primary Purpose: Treatment A Phase 2A, Multicenter, Placebo-Controlled, Safety, Efficay, Multiple Arm, Tolerability, Pharmacokineticks, Pharmacodynamics Study",Ii,Trialtrove,1,1,1,1,4,3.0,0,0,0,0,1,0,0,0,0,,0,10,1,4,1,7,23,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Multicenter, Open Label, Single-Ascending Dose Study to Evaluate Safety, Tolerability, and Pharmacokinetics of AP-101 in Familial and Sporadic Amyotrophic Lateral Sclerosis (ALS)",Cns,https://clinicalintelligence.citeline.com/trials/details/351306?qId=da896876-a29f-4f89-8e03-cde11c10782a,AP101-01 NCT03981536 TrialTroveID-351306,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,351306,multiple arm; open label; pharmacokinetics; safety; single ascending dose,"To Evaluate Safety, Tolerability, And Pharmacokinetics Of Ap-101 In Familial And Sporadic Amyotrophic Lateral Sclerosis (Als). To Assess Safety, Tolerability, And Pharmacokinetics Of Ap-101 After Intravenous Administration In Fals And Sals Patients.","An Interventional, Multicenter, Non-Randomized, Parallel Assignment, Open Label,3+3 Design,Single-Ascending Dose, Safety, Tolerability, Multiple Arm And Pharmacokinetics Study.",I,Trialtrove,1,0,1,1,3,2.0,0,0,0,0,0,0,0,0,0,"Completed, Outcome unknown",0,11,0,3,0,4,18,SAFETY,0,0,0,1
CNS: Dementia (non-Alzheimer's),1,"An Open-Label, Expanded Access Protocol of LAM-002A (Apilimod Dimeyslate Capsules), Administered to a Single Subject With C9ORF72-Associated Frontotemporal Dementia (FTD)",Cns,https://clinicalintelligence.citeline.com/trials/details/438542?qId=da896876-a29f-4f89-8e03-cde11c10782a,LAM-002A-FTD-EAP NCT05483322 TrialTroveID-438542,Completed,"Aphasia, Primary Progressive; Dementia; Frontotemporal Dementia; Pick Disease of the Brain",438542,open label,To Study The Expanded Access Protocol (Eap) Of The Lam-002A Investigational Product Administered Orally At 125 Mg Bid For 52 Weeks.,"A Open-Label, Single Subject, Expanded Access Protocol Study",Iv,Trialtrove,0,1,1,1,3,2.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,"A Phase IIa Trial to Evaluate the Safety, Tolerability, and Biological Activity of LAM-002A (Apilimod Dimesylate Capsules) in C9ORF72-Associated Amyotrophic Lateral Sclerosis",Cns,https://clinicalintelligence.citeline.com/trials/details/421066?qId=da896876-a29f-4f89-8e03-cde11c10782a,LAM-002A-ALS-CLN01 NCT05163886 TrialTroveID-421066,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,421066,double blind/blinded; multiple arm; pharmacokinetics; placebo control; randomized; safety,"Brief Summary: This Is A Clinical Trial To Evaluate The Safety, Tolerability, And Biological Effect Of Lam-002A In Adults With C9Orf72-Associated Als (C9Als). Detailed Description: This Is A Phase 2A, Multicenter, Randomized, Double-Blind, Placebo-Controlled, Biomarker- Driven Clinical Trial To Evaluate The Safety, Tolerability, And Biological Effect Of Lam-002A In Adults Diagnosed With Als Who Are Confirmed To Carry The Chromosome 9 Open Reading Frame 72 (C9Orf72) Gene Mutation (C9Als). Informed Consent Will Be Obtained Prior To The Conduct Of Any Study-Related Procedures. Study Eligibility Will Be Assessed At The Screening Visit And During The Screening Period. Participants Must Satisfy The Inclusion And Exclusion Criteria For The Study. Participants Will Receive Either Standard Of Care Plus Lam-002A Or Standard Of Care And Placebo (Randomized 2:1) For The First 12 Weeks Of The Study (Core Study). Lam-002A Will Be Administered As Oral Capsules 125 Mg Bid (250 Mg Total Daily Dose). The Lam-002A Dose May Be Reduced To 100 Mg Bid (200 Mg Total Daily Dose) If Adverse Effects Develop. Participants Who Complete The First 12 Weeks On Treatment Will Be Eligible To Receive Active Drug (Lam-002A Capsules At Maximum Tolerated Dose Of 125 Or 100 Mg Bid) For The Remainder Of The Study [Open Label Extension (Ole)] Up To Week 24, With A Week 28 Telephone Phone Call Planned 28 Days After The Last Dose Of Study Drug. After The Start Of Treatment On Week 1, Participants Will Be Followed At Weeks 2, 4, 8, 12, 16, 20, 24, And 28. Participants Can Withdraw From The Study At Any Time. The Study Will Employ An Interim Analysis By An Independent Data Safety Monitoring Board (Dsmb) For Safety And Clinical Efficacy. The Dsmb Will Be Responsible For Reviewing The Interim Safety And Futility Analyses And Recommending Study Continuation, Termination, Or Study Design Adaptation.","Study Type : Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Intervention Model Description: Double-Blind, Placebo-Controlled Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor) Masking Description: Double-Blinded Primary Purpose: Treatment A Multicenter, Patient-Centric, Biomarker-Driven, Multiple Arm; 12-Week, Placebo Control; Pharmacokinetics, Tolerability, Safety, 12-Week Open-Label Extension Study.",Ii,Trialtrove,1,1,1,1,4,4.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",5,15,3,6,2,4,35,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,A Phase I Study of AIT–101 for Amyotrophic Lateral Sclerosis,Cns,https://clinicalintelligence.citeline.com/trials/details/400873?qId=da896876-a29f-4f89-8e03-cde11c10782a,TrialTroveID-400873,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,400873,,To Evalute Phase I Study Of Ait 101 For Amyotrophic Lateral Sclerosis.,A Phase I Study,I,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0
